"caution_order_id","corridor_code","zone","section_from","section_to","track_line","km_from","km_to","normal_sectional_speed_kmph","imposed_caution_speed_kmph","speed_drop_kmph","speed_drop_pct","restriction_reason","triggering_defect_code","triggering_defect_name","defect_category","imposition_timestamp","planned_lifting_timestamp","actual_lifting_timestamp","status","average_train_detention_min","daily_impacted_trains_count","coa_direct_feed_synced","correlated_bdms_block_id","responsible_pway_officer","caution_board_displayed"
"COA-ER-2026-00053","HWH-ASN","ER","HWH","BDC","SINGLE_LINE","75.841","77.713","110","75","35","31.8","Post-Accident Precaution","BALL_INSUFF","Insufficient Ballast Cushion","FOUNDATION","2026-06-14T10:55:00.000Z","2026-09-02T20:35:00.000Z","","RAMPING","3.3","114","true","BDMS-ER-BLK-18766","A. Verma APWI","true"
"COA-NR-2026-00054","DLI-AMB","NR","GNU","PNP","SINGLE_LINE","40.903","42.761","130","45","85","65.4","Rail Fracture","BALL_SETTLE","Ballast Settlement","FOUNDATION","2026-07-19T18:30:00.000Z","2026-09-25T10:28:00.000Z","2026-08-16T09:03:00.000Z","LIFTED","2.7","136","true","BDMS-NR-BLK-77583","R. Kumar SSE/P-Way","true"
"COA-SR-2026-00055","MAS-SBC","SR","AJJ","KPD","SINGLE_LINE","236.455","237.068","110","30","80","72.7","Point/Crossing Defect","RW_RAD","Rail Wear — Radius Reduction","STRUCTURAL","2026-08-04T16:31:00.000Z","2026-08-21T12:01:00.000Z","","ACTIVE","4.9","134","true","BDMS-SR-BLK-63239","A. Verma APWI","true"
"COA-SR-2026-00056","MAS-SBC","SR","KPD","JTJ","DN_MAIN","46.764","48.933","130","30","100","76.9","Rail Fracture","DRAIN_BLOCK","Drainage Blockage","FOUNDATION","2026-06-10T07:04:00.000Z","2026-09-25T13:56:00.000Z","2026-08-27T17:40:00.000Z","LIFTED","5.2","86","true","BDMS-SR-BLK-73090","V. Gupta AEN","true"
"COA-SCR-2026-00057","SC-BZA","SCR","WLMD","NLDA","DN_MAIN","29.83","30.902","110","20","90","81.8","Ballast Deficiency","BALL_SETTLE","Ballast Settlement","FOUNDATION","2026-07-13T21:21:00.000Z","2026-09-18T20:12:00.000Z","","RAMPING","9.5","109","true","BDMS-SCR-BLK-18285","V. Gupta AEN","true"
"COA-SR-2026-00058","MAS-SBC","SR","JTJ","BWT","SINGLE_LINE","339.525","340.22","130","15","115","88.5","Gauge Variation","WELD_DEF","Weld Defect","STRUCTURAL","2026-06-10T17:22:00.000Z","2026-08-05T17:48:00.000Z","2026-08-28T13:10:00.000Z","LIFTED","6.1","86","true","BDMS-SR-BLK-50468","A. Verma APWI","true"
"COA-NR-2026-00059","NDLS-CNB","NR","ALJN","TDL","DN_MAIN","181.401","184.562","130","75","55","42.3","Gauge Variation","FISH_BOLT","Fishplate/Bolt Defect","STRUCTURAL","2026-07-26T21:08:00.000Z","2026-09-16T07:57:00.000Z","2026-08-04T19:51:00.000Z","LIFTED","1.9","182","true","BDMS-NR-BLK-35495","D. Reddy SSE/P-Way","true"
"COA-SR-2026-00060","MAS-SBC","SR","KJM","SBC","UP_MAIN","15.224","18.305","100","30","70","70","Formation Failure","FORM_FAIL","Formation Failure","FOUNDATION","2026-07-24T20:10:00.000Z","2026-08-17T17:47:00.000Z","","ACTIVE","6.4","82","true","BDMS-SR-BLK-16096","A. Verma APWI","true"
"COA-WR-2026-00061","BCT-ADI","WR","BVI","PLG","UP_MAIN","242.229","244.894","110","75","35","31.8","Weld Defect","SQUAT","Squat Defect","STRUCTURAL","2026-08-03T07:37:00.000Z","2026-09-08T18:58:00.000Z","","ACTIVE","3.5","138","true","BDMS-WR-BLK-98014","R. Kumar SSE/P-Way","true"
"COA-ER-2026-00062","HWH-ASN","ER","HWH","BDC","LOOP_LINE","175.939","178.543","130","15","115","88.5","Bridge Approach Settlement","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-06-06T15:39:00.000Z","2026-08-15T06:48:00.000Z","","ACTIVE","3.7","114","true","BDMS-ER-BLK-97022","P. Nair JE/P-Way","true"
"COA-NR-2026-00063","NDLS-CNB","NR","ALJN","TDL","SINGLE_LINE","356.174","358.124","130","75","55","42.3","Weld Defect","BALL_SETTLE","Ballast Settlement","FOUNDATION","2026-07-09T12:42:00.000Z","2026-09-11T21:01:00.000Z","2026-09-12T09:28:00.000Z","LIFTED","4.4","167","true","BDMS-NR-BLK-92110","M. Singh PWI","true"
"COA-NR-2026-00064","DLI-AMB","NR","DLI","SZM","DN_MAIN","101.271","104.526","110","15","95","86.4","Track Buckling Risk","SURF_CRACK","Surface Crack","STRUCTURAL","2026-06-15T08:20:00.000Z","2026-08-27T09:59:00.000Z","","ACTIVE","6.6","125","true","BDMS-NR-BLK-57820","V. Gupta AEN","true"
"COA-ER-2026-00065","HWH-ASN","ER","BDC","BWN","UP_MAIN","79.609","82.655","110","15","95","86.4","Ballast Deficiency","RW_LAT","Rail Wear — Lateral","STRUCTURAL","2026-08-17T14:11:00.000Z","2026-08-23T14:06:00.000Z","2026-08-28T16:21:00.000Z","LIFTED","4.8","114","true","BDMS-ER-BLK-97378","A. Verma APWI","true"
"COA-SCR-2026-00066","SC-BZA","SCR","KZJ","WLMD","UP_MAIN","138.625","138.986","100","75","25","25","Point/Crossing Defect","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-06-10T13:10:00.000Z","2026-08-15T10:13:00.000Z","","ACTIVE","2.8","132","true","BDMS-SCR-BLK-72791","V. Gupta AEN","true"
"COA-NR-2026-00067","NDLS-CNB","NR","TDL","ETW","DN_MAIN","154.724","157.427","100","30","70","70","Bridge Approach Settlement","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-08-28T16:03:00.000Z","2026-09-22T20:34:00.000Z","","ACTIVE","6.6","167","true","BDMS-NR-BLK-57177","R. Kumar SSE/P-Way","true"
"COA-NR-2026-00068","DLI-AMB","NR","GNU","PNP","UP_MAIN","88.801","90.624","110","75","35","31.8","Point/Crossing Defect","RW_RAD","Rail Wear — Radius Reduction","STRUCTURAL","2026-06-16T21:24:00.000Z","2026-09-27T20:57:00.000Z","2026-08-19T19:36:00.000Z","LIFTED","2.6","109","true","BDMS-NR-BLK-42942","S. Sharma PWI","true"
"COA-CR-2026-00069","CSTM-PUNE","CR","CSTM","KJT","SINGLE_LINE","88.737","89.219","110","20","90","81.8","Weld Defect","GAUGE_TIGHT","Gauge — Tight","GEOMETRIC","2026-06-13T10:23:00.000Z","2026-09-22T14:42:00.000Z","","RAMPING","9.3","144","true","BDMS-CR-BLK-45780","R. Kumar SSE/P-Way","true"
"COA-SR-2026-00070","MAS-SBC","SR","BWT","KJM","SINGLE_LINE","7.525","9.382","130","15","115","88.5","Bridge Approach Settlement","CROSS_LVL","Cross-Level Defect","GEOMETRIC","2026-07-25T11:23:00.000Z","2026-09-08T19:43:00.000Z","2026-09-16T17:09:00.000Z","LIFTED","10.9","130","true","BDMS-SR-BLK-52871","P. Nair JE/P-Way","true"
"COA-NR-2026-00071","DLI-AMB","NR","GNU","PNP","UP_MAIN","186.06","189.371","130","15","115","88.5","Ballast Deficiency","HOG_RAIL","Hogged Rail","STRUCTURAL","2026-08-24T14:56:00.000Z","2026-08-25T11:45:00.000Z","2026-09-26T07:24:00.000Z","LIFTED","3.8","163","true","BDMS-NR-BLK-10280","V. Gupta AEN","true"
"COA-ER-2026-00072","HWH-ASN","ER","PAN","DGR","DN_MAIN","123.637","124.902","130","75","55","42.3","Formation Failure","RAIL_FRAC","Rail Fracture","STRUCTURAL","2026-07-21T21:28:00.000Z","2026-08-21T19:09:00.000Z","","ACTIVE","5.2","129","true","BDMS-ER-BLK-37031","S. Sharma PWI","true"
"COA-CR-2026-00073","CSTM-PUNE","CR","CSTM","KJT","UP_MAIN","106.635","106.836","110","45","65","59.1","Track Buckling Risk","SUPER_ELEV","Superelevation Error","GEOMETRIC","2026-07-07T17:09:00.000Z","2026-08-16T10:57:00.000Z","2026-08-04T14:45:00.000Z","LIFTED","4.1","112","true","BDMS-CR-BLK-33613","R. Kumar SSE/P-Way","true"
"COA-NR-2026-00074","NDLS-CNB","NR","ALJN","TDL","DN_MAIN","168.814","172.23","110","30","80","72.7","Ballast Deficiency","FISH_BOLT","Fishplate/Bolt Defect","STRUCTURAL","2026-08-20T15:57:00.000Z","2026-09-02T10:30:00.000Z","2026-09-24T08:09:00.000Z","LIFTED","9.2","146","true","BDMS-NR-BLK-17860","S. Sharma PWI","true"
