"machine_requisition_id","timestamp_demanded","machine_type","machine_name","machine_unit_number","corridor_code","zone","section_from","section_to","track_line","km_start","km_end","span_km","quantum_target","quantum_unit","pre_work_tqi","target_post_work_tqi","primary_defect_rectified","primary_defect_name","requested_duration_hours","min_acceptable_duration_hours","requires_power_block","ohe_elementary_section","requires_st_disconnection","affected_points_signals","machine_stabling_station","shadow_block_coordinated","post_maintenance_speed_restriction_kmph","bdms_approval_status","bdms_sanctioned_duration_hours","target_grant_probability","operator_crew_in_charge"
"MBR-NCR-2026-00018","2026-07-06T06:38:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-9247","DLI-AGC","NCR","PWL","KSV","SINGLE_LINE","167.178","172.789","5.611","2.84","km","32.2","83.4","RW_LAT","Rail Wear — Lateral","3.6","2.7","false","N/A","false","None","PWL","Gang Manual Off-Track Pack","75","SANCTIONED","3.6","0.91","K. Joshi SE/P-Way"
"MBR-WR-2026-00019","2026-08-24T14:25:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-5972","BCT-ADI","WR","VAPI","BL","LOOP_LINE","342.968","345.515","2.547","647","sleepers","36","87.2","WELD_DEF","Weld Defect","6.6","4.9","true","ES-VAPI-UP-01","true","Pt 195A/129B, Track Circuit TC-38","VAPI","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","6.6","0.74","P. Nair JE/P-Way"
"MBR-SCR-2026-00020","2026-09-19T18:15:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-1657","SC-BZA","SCR","SC","KZJ","UP_MAIN","164.873","169.414","4.541","867","sleepers","58.5","94.1","BALL_FOUL","Ballast Fouling","6.4","4.8","true","ES-SC-UP-04","true","Pt 175A/152B, Track Circuit TC-10","SC","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","6.4","0.83","S. Sharma PWI"
"MBR-SR-2026-00021","2026-09-22T08:40:00.000Z","3X","3-Sleeper Tamping (09-3X)","3X-9090","MAS-SBC","SR","JTJ","BWT","DN_MAIN","258.218","260.189","1.971","3.35","km","64.1","91.2","GAUGE_TIGHT","Gauge — Tight","4.9","3.7","false","N/A","false","None","JTJ","Gang Manual Off-Track Pack","45","SANCTIONED","4.9","0.93","K. Joshi SE/P-Way"
"MBR-WR-2026-00022","2026-08-23T16:00:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-1337","BCT-ADI","WR","ST","BRC","DN_MAIN","246.957","252.603","5.646","3.49","km","49.6","85.5","FORM_FAIL","Formation Failure","3.1","2.3","false","N/A","false","None","ST","Gang Manual Off-Track Pack","75","SANCTIONED","3.1","0.8","D. Reddy SSE/P-Way"
"MBR-NR-2026-00023","2026-07-12T13:04:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-5675","NDLS-CNB","NR","NDLS","GZB","UP_MAIN","28.735","29.129","0.394","5","turnouts","54.6","93","WELD_DEF","Weld Defect","2.7","2","false","N/A","true","Pt 131A/128B, Track Circuit TC-54","NDLS","Gang Manual Off-Track Pack","75","SANCTIONED","2.7","0.94","V. Gupta AEN"
"MBR-NR-2026-00024","2026-07-26T06:05:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-5792","DLI-AMB","NR","KUN","UMB","DN_MAIN","126.158","129.871","3.713","1.64","km","63.4","93.9","DRAIN_BLOCK","Drainage Blockage","3.6","2.7","false","N/A","false","None","KUN","Gang Manual Off-Track Pack","75","CURTAILED","2.7","0.8","D. Reddy SSE/P-Way"
"MBR-SCR-2026-00025","2026-09-21T12:57:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-7956","SC-BZA","SCR","NLDA","BZA","SINGLE_LINE","183.252","183.812","0.56","5","turnouts","42.6","93.3","TWIST","Track Twist","3.6","2.7","false","N/A","true","Pt 128A/113B, Track Circuit TC-76","NLDA","Gang Manual Off-Track Pack","75","DEFERRED","0","0.84","S. Sharma PWI"
"MBR-ER-2026-00026","2026-09-12T15:12:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-6985","HWH-ASN","ER","BDC","BWN","UP_MAIN","50.23","52.929","2.699","2.01","km","58.9","83.8","TRACK_BUCK","Track Buckling","3.5","2.6","false","N/A","false","None","BDC","Gang Manual Off-Track Pack","75","CURTAILED","2.6","0.8","S. Sharma PWI"
"MBR-SR-2026-00027","2026-08-24T16:55:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-9648","MAS-SBC","SR","JTJ","BWT","SINGLE_LINE","230.008","230.717","0.709","3","turnouts","47.8","89.2","SURF_CRACK","Surface Crack","3","2.3","false","N/A","true","Pt 136A/186B, Track Circuit TC-94","JTJ","Gang Manual Off-Track Pack","75","SANCTIONED","3","0.92","D. Reddy SSE/P-Way"
"MBR-ER-2026-00028","2026-07-06T07:06:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-4378","HWH-ASN","ER","DGR","RNG","UP_MAIN","68.325","72.176","3.851","3.5","km","53.9","85.2","FISH_BOLT","Fishplate/Bolt Defect","2.9","2.2","false","N/A","false","None","DGR","Gang Manual Off-Track Pack","75","SANCTIONED","2.9","0.82","P. Nair JE/P-Way"
"MBR-SR-2026-00029","2026-08-13T15:08:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-876","MAS-SBC","SR","KJM","SBC","SINGLE_LINE","104.457","104.812","0.355","6","turnouts","61.6","93","BALL_FOUL","Ballast Fouling","3","2.3","false","N/A","true","Pt 147A/146B, Track Circuit TC-45","KJM","Gang Manual Off-Track Pack","75","CURTAILED","2.3","0.9","R. Kumar SSE/P-Way"
"MBR-SCR-2026-00030","2026-09-14T07:17:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-6751","SC-BZA","SCR","NLDA","BZA","DN_MAIN","117.711","122.305","4.594","1.92","km","57.3","92.9","RAIL_FRAC","Rail Fracture","5.2","3.9","true","ES-NLDA-UP-05","false","None","NLDA","TRD Tower Wagon + S&T Interlocking Check","20","SANCTIONED","5.2","0.73","A. Verma APWI"
"MBR-NR-2026-00031","2026-07-11T13:20:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-8725","NDLS-CNB","NR","NDLS","GZB","SINGLE_LINE","253.109","254.616","1.507","3.12","km","52","84.1","FORM_FAIL","Formation Failure","3.6","2.7","false","N/A","false","None","NDLS","Gang Manual Off-Track Pack","75","SANCTIONED","3.6","0.83","S. Sharma PWI"
"MBR-NCR-2026-00032","2026-09-04T14:12:00.000Z","CSM","Continuous Action Tamping (09-32 CSM)","CSM-5213","DLI-AGC","NCR","KSV","MTJ","LOOP_LINE","11.778","14.132","2.354","2.45","km","60.6","91.3","ALIGN_LAT","Alignment — Lateral","3.9","2.9","false","N/A","false","None","KSV","Gang Manual Off-Track Pack","45","SANCTIONED","3.9","0.92","D. Reddy SSE/P-Way"
"MBR-NR-2026-00033","2026-07-14T21:31:00.000Z","CSM","Continuous Action Tamping (09-32 CSM)","CSM-3962","DLI-AMB","NR","GNU","PNP","DN_MAIN","1.6","6.28","4.68","3.52","km","56.4","86","SLEEPER_DEF","Sleeper Defect","3.9","2.9","false","N/A","false","None","GNU","Gang Manual Off-Track Pack","45","SANCTIONED","3.9","0.8","R. Kumar SSE/P-Way"
"MBR-NR-2026-00034","2026-08-01T08:20:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-5412","NDLS-CNB","NR","ETW","CNB","DN_MAIN","413.982","417.411","3.429","468","sleepers","37.9","93.8","TRACK_BUCK","Track Buckling","6.9","5.2","true","ES-ETW-UP-08","true","Pt 187A/110B, Track Circuit TC-46","ETW","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","6.9","0.75","D. Reddy SSE/P-Way"
"MBR-SR-2026-00035","2026-07-23T08:04:00.000Z","3X","3-Sleeper Tamping (09-3X)","3X-7882","MAS-SBC","SR","BWT","KJM","UP_MAIN","105.913","110.724","4.811","2.13","km","49.6","93.7","FISH_BOLT","Fishplate/Bolt Defect","4.7","3.5","false","N/A","false","None","BWT","Gang Manual Off-Track Pack","45","SANCTIONED","4.7","0.79","V. Gupta AEN"
"MBR-NCR-2026-00036","2026-07-18T11:19:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-1536","DLI-AGC","NCR","FDB","PWL","SINGLE_LINE","88.349","90.348","1.999","510","sleepers","46.1","92","GAUGE_TIGHT","Gauge — Tight","5.5","4.1","true","ES-FDB-UP-09","true","Pt 110A/169B, Track Circuit TC-81","FDB","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","5.5","0.76","S. Sharma PWI"
"MBR-SR-2026-00037","2026-07-09T07:27:00.000Z","CSM","Continuous Action Tamping (09-32 CSM)","CSM-6106","MAS-SBC","SR","BWT","KJM","LOOP_LINE","104.289","110.223","5.934","3.25","km","38.4","83.1","GAUGE_WIDE","Gauge — Wide","4.1","3.1","false","N/A","false","None","BWT","Gang Manual Off-Track Pack","45","REJECTED","0","0.87","P. Nair JE/P-Way"
"MBR-NR-2026-00038","2026-09-18T12:21:00.000Z","3X","3-Sleeper Tamping (09-3X)","3X-971","DLI-AMB","NR","SZM","SNP","LOOP_LINE","179.869","185.146","5.277","3.87","km","48","81","ALIGN_LAT","Alignment — Lateral","4.9","3.7","false","N/A","false","None","SZM","Gang Manual Off-Track Pack","45","SANCTIONED","4.9","0.88","P. Nair JE/P-Way"
"MBR-SCR-2026-00039","2026-08-17T09:30:00.000Z","CSM","Continuous Action Tamping (09-32 CSM)","CSM-9105","SC-BZA","SCR","SC","KZJ","LOOP_LINE","128.114","131.878","3.764","2.04","km","56.5","85.6","HOG_RAIL","Hogged Rail","3.8","2.8","false","N/A","false","None","SC","Gang Manual Off-Track Pack","45","SANCTIONED","3.8","0.9","V. Gupta AEN"
"MBR-NCR-2026-00040","2026-07-04T19:46:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-8748","DLI-AGC","NCR","PWL","KSV","DN_MAIN","109.11","112.023","2.913","2.05","pass-km","51.8","85.3","HOG_RAIL","Hogged Rail","3.8","2.8","true","ES-PWL-UP-07","false","None","PWL","TRD Tower Wagon + S&T Interlocking Check","75","DEFERRED","0","0.84","R. Kumar SSE/P-Way"
"MBR-CR-2026-00041","2026-09-16T11:43:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-244","CSTM-PUNE","CR","KYN","KAT","SINGLE_LINE","177.975","182.352","4.377","4.32","pass-km","40.8","88.8","HOG_RAIL","Hogged Rail","4.8","3.6","true","ES-KYN-UP-06","false","None","KYN","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","4.8","0.78","M. Singh PWI"
"MBR-NCR-2026-00042","2026-08-06T09:51:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-8846","DLI-AGC","NCR","PWL","KSV","SINGLE_LINE","67.824","68.145","0.321","5","turnouts","58.5","94.8","TWIST","Track Twist","2.6","2","false","N/A","true","Pt 183A/171B, Track Circuit TC-59","PWL","Gang Manual Off-Track Pack","75","DEFERRED","0","0.92","P. Nair JE/P-Way"
"MBR-SR-2026-00043","2026-09-12T07:48:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-4504","MAS-SBC","SR","KPD","JTJ","SINGLE_LINE","264.528","264.954","0.426","2","turnouts","34.2","84.2","BALL_FOUL","Ballast Fouling","3","2.3","false","N/A","true","Pt 194A/130B, Track Circuit TC-88","KPD","Gang Manual Off-Track Pack","75","REJECTED","0","0.83","V. Gupta AEN"
"MBR-NR-2026-00044","2026-07-02T09:15:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-5689","DLI-AMB","NR","KUN","UMB","SINGLE_LINE","143.773","146.697","2.924","3.34","km","56","90.1","BALL_INSUFF","Insufficient Ballast Cushion","3.8","2.8","false","N/A","false","None","KUN","Gang Manual Off-Track Pack","75","SANCTIONED","3.8","0.83","A. Verma APWI"
"MBR-NR-2026-00045","2026-09-07T08:19:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-3425","DLI-AMB","NR","SNP","GNU","DN_MAIN","146.778","148.993","2.215","451","sleepers","43","80.5","KINK_RAIL","Kinked Rail","6.6","4.9","true","ES-SNP-UP-07","true","Pt 113A/180B, Track Circuit TC-23","SNP","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","4.9","0.84","K. Joshi SE/P-Way"
"MBR-WR-2026-00046","2026-08-15T21:28:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-2589","BCT-ADI","WR","BVI","PLG","SINGLE_LINE","471.224","474.036","2.812","3.71","km","32.8","85.3","HOG_RAIL","Hogged Rail","4.4","3.3","false","N/A","false","None","BVI","Gang Manual Off-Track Pack","75","SANCTIONED","4.4","0.81","A. Verma APWI"
"MBR-SCR-2026-00047","2026-08-23T18:58:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-6049","SC-BZA","SCR","NLDA","BZA","DN_MAIN","25.404","29.077","3.673","2.12","km","57.4","90.5","BALL_FOUL","Ballast Fouling","2.7","2","false","N/A","false","None","NLDA","Gang Manual Off-Track Pack","75","SANCTIONED","2.7","0.83","P. Nair JE/P-Way"
"MBR-SCR-2026-00048","2026-07-10T07:01:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-3451","SC-BZA","SCR","KZJ","WLMD","DN_MAIN","254.337","257.974","3.637","3.26","km","44.2","93.9","SURF_CRACK","Surface Crack","4.4","3.3","false","N/A","false","None","KZJ","Gang Manual Off-Track Pack","75","SANCTIONED","4.4","0.93","M. Singh PWI"
"MBR-SCR-2026-00049","2026-08-03T08:46:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-5001","SC-BZA","SCR","SC","KZJ","LOOP_LINE","181.488","183.491","2.003","3.94","pass-km","32","81.9","WELD_DEF","Weld Defect","4.5","3.4","true","ES-SC-UP-07","false","None","SC","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","3.4","0.75","V. Gupta AEN"
"MBR-ER-2026-00050","2026-08-13T13:28:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-3087","HWH-ASN","ER","BWN","PAN","DN_MAIN","194.301","196.741","2.44","1.96","km","61.4","85","CROSS_LVL","Cross-Level Defect","3.6","2.7","false","N/A","false","None","BWN","Gang Manual Off-Track Pack","75","SANCTIONED","3.6","0.92","P. Nair JE/P-Way"
"MBR-NR-2026-00051","2026-07-23T18:36:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-7844","DLI-AMB","NR","SNP","GNU","SINGLE_LINE","105.364","108.516","3.152","3.89","km","54.1","92.6","CORRUG","Corrugation","4.2","3.2","false","N/A","false","None","SNP","Gang Manual Off-Track Pack","75","SANCTIONED","4.2","0.89","K. Joshi SE/P-Way"
"MBR-SCR-2026-00052","2026-07-09T14:58:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-4536","SC-BZA","SCR","KZJ","WLMD","DN_MAIN","81.138","84.172","3.034","3.34","km","63.3","93.6","FISH_BOLT","Fishplate/Bolt Defect","3.8","2.8","false","N/A","false","None","KZJ","Gang Manual Off-Track Pack","75","SANCTIONED","3.8","0.88","D. Reddy SSE/P-Way"
"MBR-WR-2026-00053","2026-08-01T06:27:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-7341","BCT-ADI","WR","BRC","ADI","DN_MAIN","301.255","304.856","3.601","2.53","km","38.2","84.7","SLEEPER_DEF","Sleeper Defect","5.7","4.3","true","ES-BRC-UP-04","false","None","BRC","TRD Tower Wagon + S&T Interlocking Check","20","SANCTIONED","5.7","0.83","A. Verma APWI"
"MBR-NCR-2026-00054","2026-07-04T13:34:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-5990","DLI-AGC","NCR","FDB","PWL","DN_MAIN","85.977","91.101","5.124","4.31","pass-km","39.8","88.8","FISH_BOLT","Fishplate/Bolt Defect","4.2","3.2","true","ES-FDB-UP-01","false","None","FDB","TRD Tower Wagon + S&T Interlocking Check","75","DEFERRED","0","0.65","P. Nair JE/P-Way"
"MBR-CR-2026-00055","2026-07-20T19:35:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-8975","CSTM-PUNE","CR","KJT","LNL","UP_MAIN","53.123","55.325","2.202","3.94","km","34.7","90.8","BALL_INSUFF","Insufficient Ballast Cushion","4.7","3.5","true","ES-KJT-UP-05","false","None","KJT","TRD Tower Wagon + S&T Interlocking Check","20","CURTAILED","3.5","0.72","S. Sharma PWI"
"MBR-ER-2026-00056","2026-09-13T17:13:00.000Z","TRT","Track Relaying Train (P-811 TRT)","TRT-4351","HWH-ASN","ER","BDC","BWN","LOOP_LINE","69.53","71.649","2.119","1194","sleepers","61.4","88","RW_RAD","Rail Wear — Radius Reduction","6.1","4.6","true","ES-BDC-UP-04","true","Pt 127A/160B, Track Circuit TC-52","BDC","TRD Tower Wagon + S&T Interlocking Check","75","DEFERRED","0","0.84","D. Reddy SSE/P-Way"
"MBR-SCR-2026-00057","2026-07-07T18:44:00.000Z","3X","3-Sleeper Tamping (09-3X)","3X-8432","SC-BZA","SCR","NLDA","BZA","SINGLE_LINE","251.248","253.202","1.954","3.82","km","54.2","93.6","WELD_DEF","Weld Defect","4","3","false","N/A","false","None","NLDA","Gang Manual Off-Track Pack","45","SANCTIONED","4","0.8","M. Singh PWI"
"MBR-NR-2026-00058","2026-07-05T21:15:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-8330","NDLS-CNB","NR","GZB","ALJN","UP_MAIN","377.997","380.921","2.924","3.05","km","54.8","90.7","SUPER_ELEV","Superelevation Error","3.8","2.8","false","N/A","false","None","GZB","Gang Manual Off-Track Pack","75","SANCTIONED","3.8","0.78","D. Reddy SSE/P-Way"
"MBR-NR-2026-00059","2026-08-08T21:15:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-3713","NDLS-CNB","NR","ALJN","TDL","SINGLE_LINE","58.007","60.464","2.457","3.71","km","47.5","89.9","RW_LAT","Rail Wear — Lateral","4.6","3.4","true","ES-ALJN-UP-01","false","None","ALJN","TRD Tower Wagon + S&T Interlocking Check","20","DEFERRED","0","0.84","K. Joshi SE/P-Way"
"MBR-NR-2026-00060","2026-07-20T11:59:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-1663","NDLS-CNB","NR","ETW","CNB","LOOP_LINE","210.276","210.749","0.473","5","turnouts","43.8","93.4","SURF_CRACK","Surface Crack","3.7","2.8","false","N/A","true","Pt 196A/172B, Track Circuit TC-35","ETW","Gang Manual Off-Track Pack","75","SANCTIONED","3.7","0.89","R. Kumar SSE/P-Way"
"MBR-NR-2026-00061","2026-07-12T07:26:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-7746","NDLS-CNB","NR","ETW","CNB","DN_MAIN","92.34","93.908","1.568","2.7","km","63.9","80.7","FORM_FAIL","Formation Failure","5.7","4.3","true","ES-ETW-UP-05","false","None","ETW","TRD Tower Wagon + S&T Interlocking Check","20","SANCTIONED","5.7","0.76","K. Joshi SE/P-Way"
"MBR-NR-2026-00062","2026-07-14T07:07:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-1262","NDLS-CNB","NR","TDL","ETW","DN_MAIN","207.279","209.974","2.695","2.18","pass-km","56.4","81.5","TRACK_BUCK","Track Buckling","4.2","3.2","true","ES-TDL-UP-04","false","None","TDL","TRD Tower Wagon + S&T Interlocking Check","75","DEFERRED","0","0.68","S. Sharma PWI"
"MBR-NR-2026-00063","2026-07-07T12:15:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-1688","NDLS-CNB","NR","TDL","ETW","LOOP_LINE","193.208","197.403","4.195","3.73","pass-km","62.7","88.4","RAIL_FRAC","Rail Fracture","3.9","2.9","true","ES-TDL-UP-09","false","None","TDL","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","2.9","0.8","M. Singh PWI"
