sample_id,dept_code,zone,division,section_id,section_encoded,track_type_encoded,from_km,to_km,km_span,elementary_section_id,defect_type,defect_severity_score,days_overdue,work_category,demanded_duration_mins,power_cut_required,traffic_cut_required,tower_wagon_required,traffic_density_trains_per_day,coa_available_free_slot_mins,concurrent_engg_block_available,concurrent_engg_block_overlap_pct,peak_hours_conflict,ambient_temp_factor,speed_risk_factor,urgency_score
ML-GEN-00961,"TRD","ECR","DNR","MKA-BKP",417,0,490.286,491.933,1.648,"ES-31A","NEUTRAL_PTFE",0.7036,19,"EMERGENCY_REPAIR",40,1,1,1,86,100,1,0.75,0,0.749,0.495,0.6571
ML-GEN-01121,"TRD","ECR","DNR","BXR-DNR",655,1,614.105,615.164,1.059,"ES-09B","CW_WEAR",0.6768,11,"EMERGENCY_REPAIR",50,1,1,0,123,61,1,0.84,1,0.711,0.887,0.6356
ML-GEN-02055,"TRD","CR","BSL","BSL-NGP",465,0,466.888,468.765,1.877,"ES-C54B","CANTILEVER_MISALIGN",0.6816,10,"DEFECT_ATTENDANCE",88,1,1,0,63,170,1,0.91,0,0.601,0.236,0.6039
ML-GEN-02129,"TRD","WR","BCT","BVI-VR",208,1,64.359,69.286,4.927,"ES-W44B","CANTILEVER_MISALIGN",0.8079,13,"EMERGENCY_REPAIR",89,1,1,1,160,39,0,0,0,0.502,0.809,0.6699
ML-GEN-01344,"TRD","ECR","DNR","BXR-DNR",655,0,612.905,613.54,0.635,"ES-10A","NEUTRAL_PTFE",0.4547,17,"EMERGENCY_REPAIR",57,1,0,0,106,127,1,0.78,0,0.225,0.773,0.6249
ML-GEN-00712,"TRD","CR","BSL","KYN-BSL",386,0,413.143,416.901,3.758,"ES-C52A","NEUTRAL_PTFE",0.755,7,"PREVENTIVE_MAINT",88,1,1,1,89,167,1,0.93,0,0.283,0.779,0.6334
ML-GEN-00628,"TRD","NR","DLI","NDLS-PWL",389,0,14.771,15.437,0.666,"ES-D06A","STEADYARM_CORRODED",0.4755,12,"DEFECT_ATTENDANCE",73,1,1,0,132,71,0,0,1,0.837,0.731,0.6319
ML-GEN-00714,"TRD","CR","BSL","BSL-NGP",465,1,554.391,557.017,2.626,"ES-C54A","CW_WEAR",0.6642,8,"FOOT_PATROL",83,1,1,0,72,165,1,0.82,0,0.388,0.321,0.6096
ML-GEN-00942,"TRD","CR","BSL","BSL-NGP",465,1,520.705,522.689,1.984,"ES-C54A","NEUTRAL_PTFE",0.4146,12,"EMERGENCY_REPAIR",41,1,1,1,60,194,1,0.99,0,0.828,0.149,0.6308
ML-GEN-00627,"TRD","CR","BSL","BSL-NGP",465,0,555.611,558.554,2.943,"ES-C54A","STEADYARM_CORRODED",0.5989,14,"POH_SCHEDULE",183,1,1,1,78,133,0,0,0,0.357,0.124,0.6167
ML-GEN-00765,"TRD","CR","BSL","KYN-BSL",386,0,446.04,447.616,1.576,"ES-C51A","ANTICREEP_DEFECT",0.5012,14,"DEFECT_ATTENDANCE",80,1,1,1,93,125,1,0.56,0,0.287,0.655,0.6356
ML-GEN-01638,"TRD","WR","BCT","BCT-BVI",543,0,3.139,7.966,4.827,"ES-W41A","CW_WEAR",0.6676,15,"FOOT_PATROL",92,1,1,1,224,30,1,0.93,0,0.714,0.759,0.6564
ML-GEN-02499,"TRD","NR","DLI","GZB-MB",515,1,58.778,60.009,1.231,"ES-D05B","CW_WEAR",0.8564,12,"FOOT_PATROL",109,1,1,1,117,83,1,0.73,0,0.598,0.536,0.6662
ML-GEN-00663,"TRD","ECR","DNR","MKA-BKP",417,1,490.161,492.273,2.112,"ES-31A","NEUTRAL_PTFE",0.6777,13,"AOH_SCHEDULE",145,1,1,1,83,159,0,0,0,0.418,0.64,0.6354
ML-GEN-01609,"TRD","NR","DLI","NDLS-GZB",823,0,0.858,2.309,1.451,"ES-D01B","INSULATOR_FLASHOVER",0.6132,15,"POH_SCHEDULE",155,1,1,1,178,35,1,0.81,0,0.444,0.823,0.6229
ML-GEN-02114,"TRD","WR","BCT","BCT-BVI",543,0,2.833,7.064,4.231,"ES-W40A","INSULATOR_FLASHOVER",0.7549,9,"DEFECT_ATTENDANCE",55,1,1,1,209,30,1,0.74,0,0.371,0.677,0.6289
ML-GEN-02375,"TRD","NR","DLI","GZB-MB",515,1,47.718,49.406,1.688,"ES-D05B","CANTILEVER_MISALIGN",0.6204,14,"DEFECT_ATTENDANCE",122,1,1,1,119,121,0,0,1,0.477,0.879,0.6287
ML-GEN-01115,"TRD","WR","BCT","BCT-BVI",543,0,14.345,17.978,3.633,"ES-W40A","CANTILEVER_MISALIGN",0.8379,10,"POH_SCHEDULE",111,1,1,1,307,30,1,0.82,0,0.558,0.861,0.6553
ML-GEN-01117,"TRD","WR","BCT","BCT-BVI",543,1,0.979,3.325,2.346,"ES-W40B","JUMPER_HOTSPOT",0.9689,10,"POH_SCHEDULE",99,1,1,1,274,30,1,0.82,1,0.815,0.73,0.6635
ML-GEN-01104,"TRD","NR","DLI","NDLS-GZB",823,0,10.009,13.257,3.248,"ES-D01B","CW_WEAR",0.4542,12,"DEFECT_ATTENDANCE",145,1,1,1,144,79,0,0,0,0.749,0.571,0.6307
ML-GEN-01228,"TRD","WR","BCT","BVI-VR",208,1,76.776,77.446,0.67,"ES-W43A","DROPPER_DEFECTIVE",0.6228,9,"AOH_SCHEDULE",163,1,1,1,209,30,1,0.91,1,0.37,0.752,0.615
ML-GEN-00824,"TRD","CR","BSL","KYN-BSL",386,0,201.885,203.61,1.725,"ES-C51A","DROPPER_DEFECTIVE",0.749,14,"DEFECT_ATTENDANCE",97,1,1,1,88,116,1,0.69,0,0.782,0.691,0.6621
ML-GEN-00736,"TRD","CR","BSL","BSL-NGP",465,1,536.972,538.225,1.253,"ES-C54B","CW_WEAR",0.7851,11,"POH_SCHEDULE",113,1,1,1,72,129,1,0.58,0,0.85,0.342,0.6507
ML-GEN-01038,"TRD","CR","BSL","KYN-BSL",386,1,248.121,249.793,1.671,"ES-C51B","CANTILEVER_MISALIGN",0.4961,17,"EMERGENCY_REPAIR",72,1,1,1,78,129,1,0.75,0,0.298,0.409,0.6258
ML-GEN-01360,"TRD","WR","BCT","BCT-BVI",543,0,17.629,18.318,0.69,"ES-W41A","DROPPER_DEFECTIVE",0.6906,16,"POH_SCHEDULE",191,1,1,1,270,30,1,0.71,0,0.633,0.84,0.6611
ML-GEN-00882,"TRD","CR","BSL","KYN-BSL",386,0,143.247,144.298,1.052,"ES-C50B","CANTILEVER_MISALIGN",0.811,4,"PREVENTIVE_MAINT",150,1,1,1,92,164,1,0.58,0,0.9,0.518,0.6404
ML-GEN-00858,"TRD","ECR","DNR","DNR-PNBE",454,1,541.957,543.939,1.981,"ES-25A","CANTILEVER_MISALIGN",0.767,17,"POH_SCHEDULE",158,1,1,1,101,131,1,0.99,0,0.163,0.531,0.6562
ML-GEN-00851,"TRD","NR","DLI","GZB-MB",515,1,50.96,51.519,0.559,"ES-D05B","STEADYARM_CORRODED",0.6603,8,"POH_SCHEDULE",132,1,1,1,118,73,1,0.66,1,0.438,0.62,0.6187
ML-GEN-01055,"TRD","ECR","DNR","MKA-BKP",417,0,489.114,491.04,1.927,"ES-32A","NEUTRAL_PTFE",0.6481,7,"FOOT_PATROL",112,1,1,1,77,160,1,0.91,0,0.887,0.475,0.635
ML-GEN-01123,"TRD","WR","BCT","BVI-VR",208,0,85.265,85.969,0.704,"ES-W43A","DROPPER_DEFECTIVE",0.5528,16,"POH_SCHEDULE",166,1,1,1,200,30,1,0.66,0,0.415,0.848,0.6317
ML-GEN-00734,"TRD","CR","BSL","KYN-BSL",386,1,242.223,244.421,2.198,"ES-C52A","NEUTRAL_PTFE",0.8021,16,"POH_SCHEDULE",150,1,1,1,82,134,1,0.54,0,0.756,0.8,0.6633
ML-GEN-02385,"TRD","ECR","DNR","PNBE-RJPB",870,0,545.548,547.636,2.089,"ES-18A","CW_WEAR",0.4704,7,"FOOT_PATROL",123,1,1,1,146,54,1,0.87,1,0.414,0.839,0.5968
ML-GEN-00545,"TRD","CR","BSL","BSL-NGP",465,1,608.479,609.017,0.538,"ES-C54A","CANTILEVER_MISALIGN",0.6944,54,"AOH_SCHEDULE",193,1,1,1,62,161,1,0.54,0,0.416,0.265,0.6896
ML-GEN-01187,"TRD","CR","BSL","KYN-BSL",386,1,273.408,275.728,2.319,"ES-C51B","INSULATOR_FLASHOVER",0.7336,11,"AOH_SCHEDULE",223,1,1,1,96,159,0,0,0,0.447,0.688,0.6482
ML-GEN-01498,"TRD","CR","BSL","BSL-NGP",465,1,531.656,532.67,1.014,"ES-C53B","CW_WEAR",0.7925,8,"DEFECT_ATTENDANCE",51,1,1,1,74,170,1,0.96,0,0.476,0.299,0.6165
ML-GEN-00484,"TRD","WR","BCT","BCT-BVI",543,1,18.587,19.338,0.751,"ES-W41A","ANTICREEP_DEFECT",0.6543,7,"POH_SCHEDULE",173,1,1,1,265,30,1,0.95,1,0.849,0.489,0.6268
ML-GEN-01191,"TRD","NR","DLI","NDLS-PWL",389,1,41.554,42.697,1.143,"ES-D06B","CW_WEAR",0.6729,5,"POH_SCHEDULE",150,1,1,1,109,121,0,0,1,0.32,0.696,0.6207
ML-GEN-01338,"TRD","ECR","DNR","MKA-BKP",417,0,489.213,490.863,1.65,"ES-31A","DROPPER_DEFECTIVE",0.5231,10,"EMERGENCY_REPAIR",70,1,1,0,97,99,1,0.7,0,0.525,0.88,0.6366
ML-GEN-02051,"TRD","ECR","DNR","PNBE-RJPB",870,0,546.186,546.884,0.697,"ES-18A","ANTICREEP_DEFECT",0.6731,11,"DEFECT_ATTENDANCE",83,1,1,0,145,77,0,0,0,0.561,0.528,0.6179
ML-GEN-01786,"TRD","CR","BSL","BSL-NGP",465,1,579.122,579.677,0.555,"ES-C53B","STEADYARM_CORRODED",0.6806,12,"EMERGENCY_REPAIR",83,1,1,1,84,131,1,0.99,0,0.259,0.427,0.6087
ML-GEN-00451,"TRD","CR","BSL","KYN-BSL",386,0,182.118,186.323,4.205,"ES-C52A","ANTICREEP_DEFECT",0.6336,14,"POH_SCHEDULE",113,1,1,1,99,94,0,0,0,0.159,0.643,0.6061
ML-GEN-00522,"TRD","ECR","DNR","BXR-DNR",655,0,611.938,614.855,2.917,"ES-09A","JUMPER_HOTSPOT",0.8451,14,"PREVENTIVE_MAINT",96,1,1,1,122,88,1,0.67,0,0.509,0.513,0.6513
ML-GEN-00313,"TRD","ECR","DNR","BXR-DNR",655,0,612.557,613.216,0.659,"ES-10A","JUMPER_HOTSPOT",0.8705,12,"AOH_SCHEDULE",167,1,1,1,85,161,0,0,0,0.225,0.601,0.6624
ML-GEN-02289,"TRD","ECR","DNR","MKA-BKP",417,0,491.03,491.55,0.52,"ES-32A","DROPPER_DEFECTIVE",0.7194,16,"FOOT_PATROL",55,1,1,0,81,135,0,0,0,0.188,0.666,0.64
ML-GEN-02045,"TRD","WR","BCT","BVI-VR",208,1,80.666,84.632,3.966,"ES-W44A","DROPPER_DEFECTIVE",0.6821,17,"EMERGENCY_REPAIR",89,1,1,1,159,34,0,0,1,0.754,0.453,0.6278
ML-GEN-00546,"TRD","CR","BSL","BSL-NGP",465,0,504.176,504.701,0.526,"ES-C54A","JUMPER_HOTSPOT",0.8963,8,"AOH_SCHEDULE",230,1,1,1,66,140,1,0.87,0,0.18,0.15,0.6416
ML-GEN-02155,"TRD","ECR","DNR","MKA-BKP",417,1,490.498,492.701,2.202,"ES-31A","CW_WEAR",0.334,10,"AOH_SCHEDULE",191,1,1,1,85,151,0,0,0,0.883,0.445,0.6093
ML-GEN-00653,"TRD","CR","BSL","KYN-BSL",386,1,150.571,154.615,4.044,"ES-C50B","INSULATOR_FLASHOVER",0.8828,8,"AOH_SCHEDULE",218,1,1,1,75,171,0,0,0,0.597,0.387,0.6609
ML-GEN-02248,"TRD","NR","DLI","GZB-MB",515,0,41.759,42.935,1.176,"ES-D05B","NEUTRAL_PTFE",0.7728,9,"PREVENTIVE_MAINT",173,1,1,1,132,115,0,0,1,0.442,0.854,0.6412
ML-GEN-01736,"TRD","ECR","DNR","BXR-DNR",655,0,611.72,612.631,0.911,"ES-09B","CW_WEAR",0.8341,10,"EMERGENCY_REPAIR",78,1,1,0,98,149,0,0,0,0.266,0.558,0.6272
ML-GEN-00499,"TRD","NR","DLI","NDLS-PWL",389,0,39.062,42.041,2.978,"ES-D07A","NEUTRAL_PTFE",0.7253,5,"POH_SCHEDULE",148,1,1,1,138,69,0,0,0,0.122,0.736,0.6108
ML-GEN-00358,"TRD","NR","DLI","NDLS-GZB",823,1,23.157,25.183,2.026,"ES-D01B","INSULATOR_FLASHOVER",0.852,14,"POH_SCHEDULE",134,1,1,1,189,30,1,0.7,1,0.156,0.615,0.6355
ML-GEN-00474,"TRD","CR","BSL","KYN-BSL",386,0,109.04,110.029,0.99,"ES-C50A","CW_WEAR",0.461,6,"POH_SCHEDULE",110,1,1,1,72,156,0,0,0,0.847,0.374,0.5882
ML-GEN-00591,"TRD","NR","DLI","NDLS-GZB",823,0,2.716,7.432,4.716,"ES-D01A","CW_WEAR",0.3712,12,"FOOT_PATROL",68,1,1,0,151,71,0,0,1,0.244,0.709,0.6276
ML-GEN-02067,"TRD","WR","BCT","BVI-VR",208,1,83.97,85.331,1.361,"ES-W43B","CW_WEAR",0.8186,34,"EMERGENCY_REPAIR",35,1,1,1,226,30,1,0.53,0,0.285,0.536,0.6908
ML-GEN-01255,"TRD","WR","BCT","BVI-VR",208,0,80.261,81.544,1.283,"ES-W43A","CW_WEAR",0.7999,12,"DEFECT_ATTENDANCE",101,1,1,1,184,30,0,0,1,0.746,0.591,0.6581
ML-GEN-02442,"TRD","NR","DLI","GZB-MB",515,1,46.616,47.794,1.178,"ES-D05A","CW_WEAR",0.4209,14,"PREVENTIVE_MAINT",113,1,1,1,119,95,1,0.89,1,0.33,0.709,0.6257
ML-GEN-00531,"TRD","WR","BCT","BVI-VR",208,0,70.029,71.282,1.253,"ES-W43A","STEADYARM_CORRODED",0.6758,8,"FOOT_PATROL",113,1,1,1,199,30,0,0,0,0.497,0.442,0.6051
ML-GEN-01027,"TRD","ECR","DNR","MKA-BKP",417,0,489.459,490.681,1.222,"ES-32A","BIRD_MENACE",0.8343,13,"PREVENTIVE_MAINT",148,1,1,1,78,108,1,0.96,0,0.875,0.172,0.6408
ML-GEN-01633,"TRD","ECR","DNR","BXR-DNR",655,0,612.31,612.899,0.589,"ES-10A","DROPPER_DEFECTIVE",0.4389,8,"POH_SCHEDULE",110,1,1,1,107,106,1,0.56,0,0.826,0.548,0.5982
ML-GEN-00324,"TRD","WR","BCT","BVI-VR",208,1,85.925,87.442,1.517,"ES-W43B","CANTILEVER_MISALIGN",0.5487,10,"FOOT_PATROL",72,1,1,0,185,43,1,0.97,0,0.159,0.495,0.5927
ML-GEN-02255,"TRD","CR","BSL","KYN-BSL",386,1,109.946,113.379,3.432,"ES-C51A","NEUTRAL_PTFE",0.8723,11,"PREVENTIVE_MAINT",103,1,1,1,112,99,1,0.99,1,0.593,0.417,0.6446
ML-GEN-00854,"TRD","CR","BSL","BSL-NGP",465,1,680.628,681.425,0.797,"ES-C53B","ANTICREEP_DEFECT",0.3397,55,"FOOT_PATROL",94,1,1,1,71,159,1,0.53,0,0.804,0.403,0.7067
ML-GEN-01097,"TRD","CR","BSL","BSL-NGP",465,0,779.358,780.655,1.296,"ES-C54B","DROPPER_DEFECTIVE",0.79,14,"EMERGENCY_REPAIR",30,1,1,0,66,178,1,0.79,0,0.624,0.206,0.6509
ML-GEN-02390,"TRD","CR","BSL","BSL-NGP",465,0,734.303,737.372,3.07,"ES-C53A","STEADYARM_CORRODED",0.6488,70,"DEFECT_ATTENDANCE",145,1,1,1,77,129,0,0,0,0.401,0.313,0.7531
ML-GEN-01020,"TRD","CR","BSL","BSL-NGP",465,0,583.631,587.866,4.235,"ES-C54A","CANTILEVER_MISALIGN",0.866,15,"POH_SCHEDULE",148,1,1,1,67,140,1,0.94,0,0.65,0.207,0.6345
ML-GEN-01365,"TRD","CR","BSL","KYN-BSL",386,1,335.962,337.775,1.813,"ES-C51B","INSULATOR_FLASHOVER",0.9284,20,"AOH_SCHEDULE",141,1,1,1,99,120,1,0.58,0,0.707,0.806,0.7024
ML-GEN-00832,"TRD","CR","BSL","KYN-BSL",386,1,285.107,289.057,3.95,"ES-C51B","STEADYARM_CORRODED",0.5338,8,"DEFECT_ATTENDANCE",44,1,1,0,91,127,0,0,0,0.732,0.538,0.6108
ML-GEN-02060,"TRD","ECR","DNR","MKA-BKP",417,0,490.717,492.221,1.504,"ES-32A","CW_WEAR",0.7332,9,"FOOT_PATROL",110,1,1,1,74,138,0,0,0,0.86,0.232,0.6412
ML-GEN-01563,"TRD","CR","BSL","KYN-BSL",386,0,83.924,87.714,3.789,"ES-C50B","JUMPER_HOTSPOT",0.9338,17,"DEFECT_ATTENDANCE",127,1,1,1,92,113,1,0.73,0,0.497,0.471,0.6594
ML-GEN-00500,"TRD","ECR","DNR","MKA-BKP",417,1,490.408,491.849,1.441,"ES-31A","INSULATOR_FLASHOVER",0.8704,13,"DEFECT_ATTENDANCE",83,1,1,1,71,179,1,0.99,0,0.483,0.184,0.636
ML-GEN-00731,"TRD","CR","BSL","BSL-NGP",465,0,727.263,729.282,2.019,"ES-C53A","CW_WEAR",0.5467,14,"PREVENTIVE_MAINT",138,1,1,1,69,159,1,0.52,0,0.385,0.198,0.6196
ML-GEN-02461,"TRD","ECR","DNR","MKA-BKP",417,0,491.318,491.938,0.62,"ES-31B","CW_WEAR",0.6804,14,"AOH_SCHEDULE",217,1,1,1,94,77,0,0,0,0.33,0.412,0.6255
ML-GEN-00716,"TRD","ECR","DNR","DNR-PNBE",454,0,540.371,542.325,1.954,"ES-24B","INSULATOR_FLASHOVER",0.8417,11,"POH_SCHEDULE",175,1,1,1,133,98,1,1,0,0.678,0.545,0.6385
ML-GEN-01631,"TRD","WR","BCT","BCT-BVI",543,1,26.625,28.384,1.759,"ES-W40B","DROPPER_DEFECTIVE",0.823,13,"DEFECT_ATTENDANCE",119,1,1,1,200,30,1,0.56,0,0.858,0.826,0.6812
ML-GEN-00600,"TRD","WR","BCT","BVI-VR",208,0,88.429,93.302,4.872,"ES-W43B","CANTILEVER_MISALIGN",0.6021,8,"POH_SCHEDULE",140,1,1,1,197,30,0,0,1,0.118,0.656,0.6101
ML-GEN-02175,"TRD","CR","BSL","KYN-BSL",386,1,77.556,79.045,1.489,"ES-C50A","INSULATOR_FLASHOVER",0.6535,8,"DEFECT_ATTENDANCE",109,1,1,1,100,111,1,0.59,0,0.169,0.548,0.6174
ML-GEN-01422,"TRD","NR","DLI","GZB-MB",515,0,40.814,43.533,2.718,"ES-D04B","DROPPER_DEFECTIVE",0.5711,21,"EMERGENCY_REPAIR",31,1,1,0,138,86,1,0.94,1,0.21,0.495,0.6218
ML-GEN-00476,"TRD","CR","BSL","BSL-NGP",465,0,748.678,749.889,1.211,"ES-C53B","CANTILEVER_MISALIGN",0.503,11,"AOH_SCHEDULE",169,1,1,1,77,144,1,0.74,0,0.846,0.418,0.6316
ML-GEN-02111,"TRD","CR","BSL","KYN-BSL",386,0,182.449,184.086,1.637,"ES-C50B","DROPPER_DEFECTIVE",0.6889,11,"FOOT_PATROL",98,1,1,1,84,180,1,0.64,0,0.546,0.41,0.6303
ML-GEN-01355,"TRD","ECR","DNR","BXR-DNR",655,1,611.016,613.679,2.663,"ES-10A","STEADYARM_CORRODED",0.6628,11,"FOOT_PATROL",106,1,1,1,115,80,1,0.67,0,0.154,0.777,0.6244
ML-GEN-01040,"TRD","CR","BSL","BSL-NGP",465,1,500.628,502.98,2.352,"ES-C54B","INSULATOR_FLASHOVER",0.7975,13,"AOH_SCHEDULE",129,1,1,1,87,133,1,0.81,0,0.56,0.711,0.6399
ML-GEN-01712,"TRD","CR","BSL","BSL-NGP",465,0,690.89,695.844,4.954,"ES-C54B","CW_WEAR",0.5376,9,"EMERGENCY_REPAIR",57,1,0,1,65,174,1,0.61,0,0.818,0.23,0.6326
ML-GEN-01458,"TRD","NR","DLI","NDLS-PWL",389,0,44.676,47.007,2.332,"ES-D07A","INSULATOR_FLASHOVER",0.8669,13,"EMERGENCY_REPAIR",37,1,1,0,104,121,1,0.68,0,0.844,0.46,0.6668
ML-GEN-02150,"TRD","WR","BCT","BCT-BVI",543,0,30.397,32.853,2.456,"ES-W42A","STEADYARM_CORRODED",0.6616,11,"AOH_SCHEDULE",201,1,1,1,266,30,1,0.66,0,0.842,0.777,0.6586
ML-GEN-00433,"TRD","ECR","DNR","MKA-BKP",417,0,491.18,492.848,1.668,"ES-31A","DROPPER_DEFECTIVE",0.6138,12,"AOH_SCHEDULE",181,1,1,1,89,119,0,0,0,0.473,0.891,0.6539
ML-GEN-01064,"TRD","NR","DLI","NDLS-PWL",389,0,48.451,53.404,4.953,"ES-D06A","NEUTRAL_PTFE",0.7168,14,"FOOT_PATROL",50,1,1,1,117,127,1,0.65,1,0.107,0.613,0.6246
ML-GEN-02352,"TRD","ECR","DNR","BXR-DNR",655,1,612.069,614.414,2.345,"ES-09B","INSULATOR_FLASHOVER",0.6105,13,"EMERGENCY_REPAIR",52,1,0,0,103,139,0,0,0,0.333,0.408,0.6371
ML-GEN-01274,"TRD","WR","BCT","BCT-BVI",543,0,48.109,49.061,0.953,"ES-W41B","INSULATOR_FLASHOVER",0.7864,8,"FOOT_PATROL",128,1,1,1,315,30,1,0.77,0,0.276,0.74,0.6334
ML-GEN-00849,"TRD","WR","BCT","BVI-VR",208,0,70.291,73.556,3.265,"ES-W44A","CW_WEAR",0.762,74,"DEFECT_ATTENDANCE",90,1,1,1,214,30,1,0.63,0,0.289,0.81,0.7446
ML-GEN-02186,"TRD","NR","DLI","NDLS-PWL",389,1,12.9,16.564,3.664,"ES-D06B","JUMPER_HOTSPOT",0.8844,8,"PREVENTIVE_MAINT",75,1,1,0,96,113,1,0.63,0,0.472,0.839,0.6537
ML-GEN-01437,"TRD","CR","BSL","BSL-NGP",465,0,727.814,730.745,2.931,"ES-C54B","NEUTRAL_PTFE",0.624,14,"EMERGENCY_REPAIR",98,1,1,1,77,131,1,0.65,0,0.706,0.403,0.6274
ML-GEN-01720,"TRD","ECR","DNR","PNBE-RJPB",870,0,546.475,548.383,1.908,"ES-19A","NEUTRAL_PTFE",0.6861,14,"AOH_SCHEDULE",164,1,1,1,136,67,1,0.71,0,0.545,0.493,0.6398
ML-GEN-02233,"TRD","ECR","DNR","DNR-PNBE",454,0,541.822,542.507,0.685,"ES-24A","CW_WEAR",0.6137,11,"DEFECT_ATTENDANCE",105,1,1,1,101,103,0,0,1,0.732,0.425,0.6114
ML-GEN-00541,"TRD","NR","DLI","NDLS-GZB",823,1,21.117,22.992,1.875,"ES-D01A","CW_WEAR",0.6938,2,"DEFECT_ATTENDANCE",107,1,1,1,186,30,1,0.6,1,0.262,0.837,0.6209
