"project_id","project_title","category","station_code","division","zone_code","zone_name","sanction_reference","sanction_year","estimated_cost_crores","physical_progress_pct","financial_progress_pct","ni_block_hours","pre_ni_shadow_blocks","twr_approved","crs_sanction_ref","sr_dso_clearance","target_commissioning_date","ni_status","bdms_ni_demand_id","transfer_status","trains_cancelled","trains_diverted","trains_short_terminated","mega_block_start_date","mega_block_end_date","project_manager","contractor","works_programme_ref","latitude","longitude"
"PB-SER-00011","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Vijayawada Jn","Adra","SER","South Eastern Railway","Pink Book Item 2025-26","2025-26",33.59,49,39,48,9,FALSE,"CRS/SER/720/2026",TRUE,"2028-10-31","Pre-NI Staging","BDMS-NI-2026-SER-00011","Transferred to BDMS",0,0,0,,,"Girish Kale (DSTE/Adra)","L&T","WP/SER/2025-26/189",12.97,69.06
"PB-NR-00012","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Itarsi Jn","Firozpur","NR","Northern Railway","Pink Book Item 2025-26","2025-26",35,37,40,60,30,FALSE,"CRS/NR/724/2026",FALSE,"2027-06-07","Delayed / Revised","BDMS-NI-2026-NR-00012","Transferred to BDMS",0,0,0,,,"Ravi Shankar (DSTE/Firozpur)","RVNL","WP/NR/2025-26/147",15.96,69.55
"PB-SER-00013","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Patna Jn","Ranchi","SER","South Eastern Railway","Pink Book Item 2023-24","2023-24",25.61,72,69,48,23,TRUE,"CRS/SER/157/2026",TRUE,"2028-12-28","NI In Progress","BDMS-NI-2026-SER-00013","Transferred to BDMS",5,4,1,"2026-09-04","2026-09-06","Sunil Das (DSTE/Ranchi)","Thales India","WP/SER/2023-24/140",14.81,79.84
"PB-SER-00014","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Hubli Jn","Adra","SER","South Eastern Railway","LAW Sanction Item 2023-24","2023-24",16.24,82,76,12,11,TRUE,"CRS/SER/969/2026",TRUE,"2028-10-22","Sanctioned (Awaiting NI)","BDMS-NI-2026-SER-00014","Transferred to BDMS",0,0,0,,,"Ramesh Tiwari (DSTE/Adra)","Siemens Rail","WP/SER/2023-24/141",23.81,79.81
"PB-ECoR-00015","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Visakhapatnam","Khurda Road","ECoR","East Coast Railway","LAW Sanction Item 2025-26","2025-26",20.18,27,19,24,30,FALSE,"CRS/ECoR/735/2026",FALSE,"2028-02-01","Commissioned",,"Pending Transfer",0,0,0,,,"Ashok Rao (DSTE/Khurda Road)","Alstom India","WP/ECoR/2025-26/33",9.13,82.17
"PB-NR-00016","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Jodhpur Jn","Lucknow","NR","Northern Railway","Pink Book Item 2025-26","2025-26",48.02,80,67,36,17,TRUE,"CRS/NR/443/2026",TRUE,"2027-05-01","NI In Progress",,"Pending Transfer",39,23,1,"2026-08-14","2026-09-05","Ashok Rao (DSTE/Lucknow)","HBL","WP/NR/2025-26/173",21.79,80.28
"PB-ECoR-00017","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Patna Jn","Waltair","ECoR","East Coast Railway","LAW Sanction Item 2025-26","2025-26",12.1,57,59,24,22,TRUE,"CRS/ECoR/539/2026",TRUE,"2026-12-17","Pre-NI Staging","BDMS-NI-2026-ECoR-00017","Transferred to BDMS",0,0,0,,,"Rakesh Jha (DSTE/Waltair)","L&T","WP/ECoR/2025-26/10",14.68,96.21
"PB-ER-00018","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Kota Jn","Malda","ER","Eastern Railway","Pink Book Item 2023-24","2023-24",34.47,47,50,60,7,FALSE,"CRS/ER/171/2026",TRUE,"2026-11-30","Pre-NI Staging","BDMS-NI-2026-ER-00018","Transferred to BDMS",0,0,0,,,"Brij Kishore (DSTE/Malda)","RITES","WP/ER/2023-24/44",20.38,95.89
"PB-WR-00019","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Jaipur Jn","Ahmedabad","WR","Western Railway","Pink Book Item 2023-24","2023-24",50.3,56,54,36,5,TRUE,"CRS/WR/304/2026",TRUE,"2028-12-11","Pre-NI Staging","BDMS-NI-2026-WR-00019","Transferred to BDMS",0,0,0,,,"Krishna Murthy (DSTE/Ahmedabad)","RITES","WP/WR/2023-24/33",15.93,86.57
"PB-NWR-00020","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Jaipur Jn","Jaipur","NWR","North Western Railway","LAW Sanction Item 2024-25","2024-25",12.41,17,7,24,17,FALSE,"CRS/NWR/632/2026",FALSE,"2028-07-30","Commissioned","BDMS-NI-2026-NWR-00020","Transferred to BDMS",0,0,0,,,"Pradeep Singh (DSTE/Jaipur)","Medha Servo","WP/NWR/2024-25/13",19.19,83.67
"PB-NFR-00021","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Nanded","Rangiya","NFR","Northeast Frontier Railway","Pink Book Item 2024-25","2024-25",73.4,17,25,36,8,FALSE,"CRS/NFR/425/2026",FALSE,"2028-07-08","Pre-NI Staging",,"Pending Transfer",0,0,0,,,"Ravi Shankar (DSTE/Rangiya)","L&T","WP/NFR/2024-25/128",14.51,77.22
"PB-SR-00022","Yard Remodeling & Provision of Additional Loop Lines with High-Speed Turnouts","Yard Remodeling","Allahabad Jn","Trivandrum","SR","Southern Railway","Pink Book Item 2023-24","2023-24",32.69,43,42,72,30,FALSE,"CRS/SR/523/2026",TRUE,"2028-04-13","Commissioned","BDMS-NI-2026-SR-00022","Transferred to BDMS",0,0,0,,,"Vinod Reddy (DSTE/Trivandrum)","RITES","WP/SR/2023-24/170",11.19,82.69
"PB-KRCL-00023","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Chennai Central","Madgaon","KRCL","Konkan Railway","Pink Book Item 2022-23","2022-23",73.88,79,72,36,28,TRUE,"CRS/KRCL/706/2026",TRUE,"2027-08-13","Pre-NI Staging","BDMS-NI-2026-KRCL-00023","Transferred to BDMS",0,0,0,,,"Yogesh Soni (DSTE/Madgaon)","RVNL","WP/KRCL/2022-23/102",27.46,92.37
"PB-SER-00024","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Wadi Jn","Adra","SER","South Eastern Railway","LAW Sanction Item 2022-23","2022-23",15.25,7,0,24,29,FALSE,"CRS/SER/216/2026",FALSE,"2027-12-12","Sanctioned (Awaiting NI)","BDMS-NI-2026-SER-00024","Transferred to BDMS",0,0,0,,,"Bharat Bhushan (DSTE/Adra)","RITES","WP/SER/2022-23/125",17.84,73.63
"PB-NFR-00025","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Madurai Jn","Tinsukia","NFR","Northeast Frontier Railway","Pink Book Item 2022-23","2022-23",20.21,86,79,48,7,TRUE,"CRS/NFR/414/2026",TRUE,"2028-07-29","Pre-NI Staging","BDMS-NI-2026-NFR-00025","Transferred to BDMS",0,0,0,,,"Ishwar Dayal (DSTE/Tinsukia)","Siemens Rail","WP/NFR/2022-23/3",17.66,81.72
"PB-WCR-00026","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Mumbai CST","Kota","WCR","West Central Railway","LAW Sanction Item 2022-23","2022-23",13.97,42,34,12,21,FALSE,"CRS/WCR/979/2026",TRUE,"2027-02-10","Sanctioned (Awaiting NI)",,"Pending Transfer",0,0,0,,,"Girish Kale (DSTE/Kota)","RITES","WP/WCR/2022-23/115",13.92,69.02
"PB-ER-00027","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Kazipet Jn","Asansol","ER","Eastern Railway","LAW Sanction Item 2022-23","2022-23",18.02,67,77,12,20,TRUE,"CRS/ER/173/2026",TRUE,"2027-04-06","Delayed / Revised","BDMS-NI-2026-ER-00027","Transferred to BDMS",0,0,0,,,"Rajan Pillai (DSTE/Asansol)","IRCON","WP/ER/2022-23/136",26.93,94.21
"PB-SECR-00028","Yard Remodeling & Provision of Additional Loop Lines with High-Speed Turnouts","Yard Remodeling","Madurai Jn","Nagpur","SECR","South East Central Railway","Pink Book Item 2024-25","2024-25",29.17,60,51,72,12,TRUE,"CRS/SECR/219/2026",TRUE,"2028-07-08","Pre-NI Staging",,"Pending Transfer",0,0,0,,,"Chandan Singh (DSTE/Nagpur)","Medha Servo","WP/SECR/2024-25/101",13.63,78.99
"PB-NR-00029","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Ambala Cantt","Firozpur","NR","Northern Railway","LAW Sanction Item 2025-26","2025-26",17.23,18,6,12,15,FALSE,"CRS/NR/143/2026",FALSE,"2028-08-15","NI In Progress",,"Pending Transfer",22,23,9,"2026-08-14","2026-09-07","Ganesh Iyer (DSTE/Firozpur)","L&T","WP/NR/2025-26/185",20.57,96.11
"PB-KRCL-00030","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Madurai Jn","Ratnagiri","KRCL","Konkan Railway","Pink Book Item 2025-26","2025-26",33.01,34,26,36,8,FALSE,"CRS/KRCL/233/2026",FALSE,"2028-08-20","Pre-NI Staging",,"Pending Transfer",0,0,0,,,"Ishwar Dayal (DSTE/Ratnagiri)","HBL","WP/KRCL/2025-26/21",29.36,88.54
"PB-NER-00031","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Kharagpur Jn","Varanasi","NER","North Eastern Railway","LAW Sanction Item 2023-24","2023-24",13.22,13,9,12,22,FALSE,"CRS/NER/973/2026",FALSE,"2027-07-23","Pre-NI Staging","BDMS-NI-2026-NER-00031","Transferred to BDMS",0,0,0,,,"Suresh Yadav (DSTE/Varanasi)","IRCON","WP/NER/2023-24/135",28.81,69.5
"PB-NWR-00032","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Hubli Jn","Jodhpur","NWR","North Western Railway","LAW Sanction Item 2022-23","2022-23",27.85,43,34,24,28,FALSE,"CRS/NWR/624/2026",TRUE,"2027-11-30","Commissioned",,"Pending Transfer",0,0,0,,,"Anand Mehta (DSTE/Jodhpur)","Siemens Rail","WP/NWR/2022-23/52",25.18,70.73
"PB-CR-00033","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Bhubaneswar","Bhusaval","CR","Central Railway","Pink Book Item 2024-25","2024-25",58.44,16,13,48,9,FALSE,"CRS/CR/448/2026",FALSE,"2026-10-11","Delayed / Revised","BDMS-NI-2026-CR-00033","Transferred to BDMS",0,0,0,,,"Ganesh Iyer (DSTE/Bhusaval)","IRCON","WP/CR/2024-25/2",20.95,70.84
"PB-NCR-00034","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Allahabad Jn","Agra","NCR","North Central Railway","Pink Book Item 2022-23","2022-23",44.07,2,0,48,12,FALSE,"CRS/NCR/366/2026",FALSE,"2027-06-19","NI In Progress","BDMS-NI-2026-NCR-00034","Transferred to BDMS",23,9,0,"2026-08-26","2026-09-09","Om Prakash (DSTE/Agra)","Alstom India","WP/NCR/2022-23/103",22.64,76.24
"PB-ECR-00035","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Kazipet Jn","Danapur","ECR","East Central Railway","Pink Book Item 2024-25","2024-25",58.33,83,82,48,24,TRUE,"CRS/ECR/194/2026",TRUE,"2027-03-08","Sanctioned (Awaiting NI)",,"Pending Transfer",0,0,0,,,"Pankaj Dubey (DSTE/Danapur)","Thales India","WP/ECR/2024-25/130",24.35,90.01
"PB-KRCL-00036","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Bhubaneswar","Karwar","KRCL","Konkan Railway","Pink Book Item 2023-24","2023-24",63.28,19,29,36,27,FALSE,"CRS/KRCL/746/2026",FALSE,"2028-12-15","Pre-NI Staging","BDMS-NI-2026-KRCL-00036","Transferred to BDMS",0,0,0,,,"Kishore Nath (DSTE/Karwar)","RVNL","WP/KRCL/2023-24/68",11.64,95.43
"PB-ECR-00037","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Raipur Jn","Sonpur","ECR","East Central Railway","Pink Book Item 2024-25","2024-25",71.43,60,67,36,21,TRUE,"CRS/ECR/202/2026",TRUE,"2028-03-03","Sanctioned (Awaiting NI)","BDMS-NI-2026-ECR-00037","Transferred to BDMS",0,0,0,,,"Ashok Rao (DSTE/Sonpur)","Alstom India","WP/ECR/2024-25/128",20.71,75.77
"PB-NCR-00038","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Manmad Jn","Jhansi","NCR","North Central Railway","LAW Sanction Item 2024-25","2024-25",15.13,46,38,12,11,FALSE,"CRS/NCR/210/2026",TRUE,"2026-11-17","Delayed / Revised","BDMS-NI-2026-NCR-00038","Transferred to BDMS",0,0,0,,,"Baldev Arora (DSTE/Jhansi)","RITES","WP/NCR/2024-25/196",29.93,68.79
"PB-ECoR-00039","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Dhanbad Jn","Waltair","ECoR","East Coast Railway","Pink Book Item 2025-26","2025-26",34.89,71,76,60,25,TRUE,"CRS/ECoR/843/2026",TRUE,"2028-05-30","Pre-NI Staging","BDMS-NI-2026-ECoR-00039","Transferred to BDMS",0,0,0,,,"Dharmendra Pal (DSTE/Waltair)","RITES","WP/ECoR/2025-26/135",17.4,85.45
"PB-WR-00040","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Coimbatore Jn","Bhavnagar","WR","Western Railway","LAW Sanction Item 2025-26","2025-26",16.65,16,17,24,20,FALSE,"CRS/WR/621/2026",FALSE,"2028-04-01","Sanctioned (Awaiting NI)","BDMS-NI-2026-WR-00040","Transferred to BDMS",0,0,0,,,"Vikram Patel (DSTE/Bhavnagar)","HBL","WP/WR/2025-26/173",27.07,76.25
"PB-WCR-00041","Yard Remodeling & Provision of Additional Loop Lines with High-Speed Turnouts","Yard Remodeling","Secunderabad Jn","Kota","WCR","West Central Railway","Pink Book Item 2023-24","2023-24",30.09,69,79,72,17,TRUE,"CRS/WCR/188/2026",TRUE,"2026-12-30","NI In Progress","BDMS-NI-2026-WCR-00041","Transferred to BDMS",18,14,11,"2026-08-14","2026-09-08","Harish Menon (DSTE/Kota)","Medha Servo","WP/WCR/2023-24/179",30.3,83.73
"PB-WR-00042","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Kota Jn","Bhavnagar","WR","Western Railway","Pink Book Item 2025-26","2025-26",43.92,41,31,36,12,FALSE,"CRS/WR/588/2026",TRUE,"2027-10-31","Pre-NI Staging",,"Pending Transfer",0,0,0,,,"Sudhir Saxena (DSTE/Bhavnagar)","RVNL","WP/WR/2025-26/18",26.01,93.21
"PB-SR-00043","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Jodhpur Jn","Tiruchchirapalli","SR","Southern Railway","Pink Book Item 2022-23","2022-23",69.18,8,3,36,27,FALSE,"CRS/SR/616/2026",FALSE,"2028-09-21","Delayed / Revised","BDMS-NI-2026-SR-00043","Transferred to BDMS",0,0,0,,,"Ishwar Dayal (DSTE/Tiruchchirapalli)","HBL","WP/SR/2022-23/71",9.51,71.66
"PB-SWR-00044","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Itarsi Jn","Bengaluru","SWR","South Western Railway","Pink Book Item 2025-26","2025-26",42.64,65,53,36,8,TRUE,"CRS/SWR/450/2026",TRUE,"2027-12-24","Sanctioned (Awaiting NI)","BDMS-NI-2026-SWR-00044","Transferred to BDMS",0,0,0,,,"Suresh Yadav (DSTE/Bengaluru)","L&T","WP/SWR/2025-26/10",18.23,73.2
"PB-ECR-00045","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Vijayawada Jn","Mughalsarai","ECR","East Central Railway","Pink Book Item 2024-25","2024-25",60.94,49,54,36,30,FALSE,"CRS/ECR/799/2026",TRUE,"2028-03-26","Sanctioned (Awaiting NI)","BDMS-NI-2026-ECR-00045","Transferred to BDMS",0,0,0,,,"Girish Kale (DSTE/Mughalsarai)","RVNL","WP/ECR/2024-25/8",25.04,73.66
"PB-SECR-00046","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Jaipur Jn","Raipur","SECR","South East Central Railway","LAW Sanction Item 2025-26","2025-26",16.96,73,66,12,9,TRUE,"CRS/SECR/919/2026",TRUE,"2026-12-24","NI In Progress",,"Pending Transfer",7,24,6,"2026-08-17","2026-09-07","Hemant Bansal (DSTE/Raipur)","Medha Servo","WP/SECR/2025-26/179",18.7,71.31
"PB-SWR-00047","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Allahabad Jn","Hubballi","SWR","South Western Railway","Pink Book Item 2025-26","2025-26",35.46,60,56,48,25,TRUE,"CRS/SWR/779/2026",TRUE,"2028-12-10","NI In Progress","BDMS-NI-2026-SWR-00047","Transferred to BDMS",35,17,0,"2026-08-29","2026-09-08","Manoj Verma (DSTE/Hubballi)","Thales India","WP/SWR/2025-26/154",17.65,90.21
"PB-SCR-00048","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Dhanbad Jn","Hyderabad","SCR","South Central Railway","LAW Sanction Item 2023-24","2023-24",26.14,64,53,24,10,TRUE,"CRS/SCR/775/2026",TRUE,"2027-12-24","NI In Progress","BDMS-NI-2026-SCR-00048","Transferred to BDMS",47,13,10,"2026-08-19","2026-09-09","Sanjay Mishra (DSTE/Hyderabad)","Siemens Rail","WP/SCR/2023-24/177",23.49,81.41
"PB-ECoR-00049","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Hubli Jn","Sambalpur","ECoR","East Coast Railway","Pink Book Item 2024-25","2024-25",70.91,61,53,36,22,TRUE,"CRS/ECoR/136/2026",TRUE,"2028-03-31","NI In Progress","BDMS-NI-2026-ECoR-00049","Transferred to BDMS",39,3,3,"2026-08-25","2026-09-08","Ajay Thakur (DSTE/Sambalpur)","Siemens Rail","WP/ECoR/2024-25/195",18.37,94.93
"PB-NFR-00050","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Coimbatore Jn","Katihar","NFR","Northeast Frontier Railway","Pink Book Item 2022-23","2022-23",78.63,96,89,36,12,TRUE,"CRS/NFR/277/2026",TRUE,"2026-09-07","Delayed / Revised","BDMS-NI-2026-NFR-00050","Transferred to BDMS",0,0,0,,,"Jagdish Lal (DSTE/Katihar)","Siemens Rail","WP/NFR/2022-23/159",18.75,72.32
"PB-CR-00051","Installation of Centralized Traffic Control (CTC) System","CTC / SCADA","Agra Cantt","Nagpur","CR","Central Railway","Pink Book Item 2024-25","2024-25",57.99,41,34,36,13,FALSE,"CRS/CR/225/2026",TRUE,"2027-03-19","Sanctioned (Awaiting NI)","BDMS-NI-2026-CR-00051","Transferred to BDMS",0,0,0,,,"Naveen Kulkarni (DSTE/Nagpur)","HBL","WP/CR/2024-25/151",24.58,93.97
"PB-NER-00052","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Manmad Jn","Varanasi","NER","North Eastern Railway","LAW Sanction Item 2025-26","2025-26",12.29,23,31,12,6,FALSE,"CRS/NER/680/2026",FALSE,"2027-12-17","NI In Progress","BDMS-NI-2026-NER-00052","Transferred to BDMS",49,9,5,"2026-08-09","2026-09-07","Om Prakash (DSTE/Varanasi)","HBL","WP/NER/2025-26/123",22.08,94.07
"PB-ECoR-00053","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","New Delhi","Waltair","ECoR","East Coast Railway","Pink Book Item 2024-25","2024-25",34.27,82,67,48,28,TRUE,"CRS/ECoR/506/2026",TRUE,"2028-09-23","Pre-NI Staging",,"Pending Transfer",0,0,0,,,"Dinesh Prasad (DSTE/Waltair)","RITES","WP/ECoR/2024-25/40",14.23,88.04
"PB-SR-00054","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Solapur Jn","Tiruchchirapalli","SR","Southern Railway","Pink Book Item 2023-24","2023-24",110.94,22,10,36,11,FALSE,"CRS/SR/821/2026",FALSE,"2028-08-07","Sanctioned (Awaiting NI)",,"Pending Transfer",0,0,0,,,"Manoj Verma (DSTE/Tiruchchirapalli)","L&T","WP/SR/2023-24/116",23.67,71.43
"PB-CR-00055","Yard Remodeling & Provision of Additional Loop Lines with High-Speed Turnouts","Yard Remodeling","Bilaspur Jn","Mumbai","CR","Central Railway","Pink Book Item 2023-24","2023-24",32.06,6,0,72,25,FALSE,"CRS/CR/444/2026",FALSE,"2027-01-27","Delayed / Revised","BDMS-NI-2026-CR-00055","Transferred to BDMS",0,0,0,,,"Sanjay Mishra (DSTE/Mumbai)","IRCON","WP/CR/2023-24/81",13.88,79.91
"PB-NCR-00056","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Bhubaneswar","Jhansi","NCR","North Central Railway","Pink Book Item 2022-23","2022-23",31.01,36,23,48,6,FALSE,"CRS/NCR/480/2026",FALSE,"2028-07-02","Commissioned","BDMS-NI-2026-NCR-00056","Transferred to BDMS",0,0,0,,,"Chandan Singh (DSTE/Jhansi)","RVNL","WP/NCR/2022-23/145",14.35,70.68
"PB-CR-00057","Yard Remodeling & Provision of Additional Loop Lines with High-Speed Turnouts","Yard Remodeling","Firozpur Jn","Nagpur","CR","Central Railway","Pink Book Item 2024-25","2024-25",30.69,40,46,72,19,FALSE,"CRS/CR/117/2026",FALSE,"2027-05-03","Sanctioned (Awaiting NI)","BDMS-NI-2026-CR-00057","Transferred to BDMS",0,0,0,,,"Kishore Nath (DSTE/Nagpur)","Medha Servo","WP/CR/2024-25/169",25.79,84.19
"PB-SCR-00058","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Madurai Jn","Secunderabad","SCR","South Central Railway","Pink Book Item 2024-25","2024-25",55.86,27,27,48,13,FALSE,"CRS/SCR/303/2026",FALSE,"2027-01-15","Commissioned","BDMS-NI-2026-SCR-00058","Transferred to BDMS",0,0,0,,,"Ramesh Tiwari (DSTE/Secunderabad)","HBL","WP/SCR/2024-25/125",32.37,78.26
"PB-KRCL-00059","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Itarsi Jn","Karwar","KRCL","Konkan Railway","Pink Book Item 2023-24","2023-24",24.32,4,0,60,24,FALSE,"CRS/KRCL/394/2026",FALSE,"2027-08-08","Pre-NI Staging","BDMS-NI-2026-KRCL-00059","Transferred to BDMS",0,0,0,,,"Pravin Patil (DSTE/Karwar)","Thales India","WP/KRCL/2023-24/35",32.65,96.04
