"demand_id","notice_number","reconnect_notice_number","date","station_code","division","zone_code","zone_name","line_affected","gear_type","gear_type_name","gear_number","asset_id","work_description","block_type","shadow_pway_combine","requested_minutes","sanctioned_minutes","actual_utilized_minutes","burst_minutes","utilization_percentage","status","points_clamped","signals_held_at_danger","obstruction_test_passed","friction_clutch_torque_normal","track_circuit_relay_verified","joint_trial_run_conducted","sign_off_officer","station_master","safety_precautions_confirmed","digital_signature_valid","latitude","longitude"
"BDMS-DISC-2026-00011","e-T351/AhmedabadJn/2026/0011",,"2025-12-24","Ahmedabad Jn","Malda","ER","Eastern Railway","Ahmedabad Jn DN Goods Line (Track 2)","AXC","Axle Counters","GR-18946","AXC-000349","Color Light Signal Head Replacement & Aspect Checking","S&T Disconnection Notice",FALSE,120,120,109,0,90.8,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Vikram Patel (SSE/Sig/Ahmedabad Jn)","T. R. Nair (SM/Ahmedabad Jn)",TRUE,TRUE,27.29,92.64
"BDMS-DISC-2026-00012","e-T351/GorakhpurJn/2026/0012",,"2026-06-08","Gorakhpur Jn","Lucknow","NER","North Eastern Railway","Gorakhpur Jn DN Goods Line (Track 4)","TC","Track Circuits","GR-81693","TC-001316","Level Crossing Gate Interlocking Wiring Modification","Traffic Block & Disconnection",FALSE,120,120,112,0,93.3,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Ravi Shankar (SSE/Sig/Gorakhpur Jn)","H. S. Chauhan (SM/Gorakhpur Jn)",TRUE,TRUE,28.33,85.55
"BDMS-DISC-2026-00013","e-T351/ChennaiCentral/2026/0013","e-T351-REC/ChennaiCentral/2026/0013","2026-05-01","Chennai Central","Raipur","SECR","South East Central Railway","Chennai Central UP Goods Line (Track 1)","LC","Level Crossing Gates","GR-43130","LC-001007","Electronic Interlocking (EI) Object Controller Card Hot-Swap & Test","Disconnection & Traffic Block",FALSE,120,120,113,0,94.2,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Suresh Yadav (SSE/Sig/Chennai Central)","A. K. Singh (SM/Chennai Central)",TRUE,TRUE,15.68,95.93
"BDMS-DISC-2026-00014","e-T351/ManmadJn/2026/0014",,"2026-02-03","Manmad Jn","Jabalpur","WCR","West Central Railway","Manmad Jn DN Goods Line (Track 2)","EI","Electronic Interlocking","GR-93771","EI-000290","Point Machine Obstruction & Friction Clutch Test (G&SR 3.51)","Traffic Block & Disconnection",TRUE,60,60,53,0,88.3,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Shankar Dey (SSE/Sig/Manmad Jn)","G. S. Reddy (SM/Manmad Jn)",TRUE,TRUE,10.11,83.99
"BDMS-DISC-2026-00015","e-T351/NagpurJn/2026/0015",,"2026-08-03","Nagpur Jn","Rajkot","WR","Western Railway","Nagpur Jn UP Loop Line (Track 2)","PNT","Points/Turnouts","GR-78148","PNT-000847","Electronic Interlocking (EI) Object Controller Card Hot-Swap & Test","Disconnection & Traffic Block",FALSE,90,0,0,0,0,"Refused by Controller",FALSE,FALSE,FALSE,,,FALSE,"Satish Chandra (SSE/Sig/Nagpur Jn)","P. K. Mishra (SM/Nagpur Jn)",FALSE,FALSE,13.41,90.75
"BDMS-DISC-2026-00016","e-T351/LucknowNR/2026/0016",,"2026-03-27","Lucknow NR","Solapur","CR","Central Railway","Lucknow NR DN Main Line (Track 3)","PNT","Points/Turnouts","GR-02932","PNT-000846","Track Circuit Bootleg & Bond Replacement","Traffic Block (Shadow)",TRUE,120,120,114,0,95,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Umesh Tripathi (SSE/Sig/Lucknow NR)","V. K. Gupta (SM/Lucknow NR)",TRUE,TRUE,30.28,92.41
"BDMS-DISC-2026-00017","e-T351/Guwahati/2026/0017",,"2025-11-07","Guwahati","Madgaon","KRCL","Konkan Railway","Guwahati UP Main Line (Track 3)","PWR","Power Supply Equipment","GR-93849","PWR-000900","Point Machine Obstruction & Friction Clutch Test (G&SR 3.51)","Traffic Block & Disconnection",TRUE,60,0,0,0,0,"Refused by Controller",FALSE,FALSE,FALSE,,,FALSE,"Nitin Agarwal (SSE/Sig/Guwahati)","B. R. Verma (SM/Guwahati)",FALSE,FALSE,32.96,79.86
"BDMS-DISC-2026-00018","e-T351/HubliJn/2026/0018","e-T351-REC/HubliJn/2026/0018","2026-01-24","Hubli Jn","Jhansi","NCR","North Central Railway","Hubli Jn UP Main Line (Track 4)","CLS","Color Light Signals","GR-03848","CLS-000848","Point Machine Obstruction & Friction Clutch Test (G&SR 3.51)","Traffic Block & Disconnection",TRUE,90,90,75,0,83.3,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Umesh Tripathi (SSE/Sig/Hubli Jn)","V. K. Gupta (SM/Hubli Jn)",TRUE,TRUE,29.37,96.15
"BDMS-DISC-2026-00019","e-T351/BilaspurJn/2026/0019","e-T351-REC/BilaspurJn/2026/0019","2026-05-26","Bilaspur Jn","Samastipur","ECR","East Central Railway","Bilaspur Jn UP Main Line (Track 4)","TC","Track Circuits","GR-46314","TC-000750","Level Crossing Gate Interlocking Wiring Modification","Traffic Block & Disconnection",FALSE,45,45,33,0,73.3,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Kamlesh Joshi (SSE/Sig/Bilaspur Jn)","K. P. Saxena (SM/Bilaspur Jn)",TRUE,TRUE,12.16,74.3
"BDMS-DISC-2026-00020","e-T351/VadodaraJn/2026/0020",,"2026-06-03","Vadodara Jn","Danapur","ECR","East Central Railway","Vadodara Jn UP Main Line (Track 2)","PNT","Points/Turnouts","GR-60541","PNT-001286","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,60,0,0,0,0,"Refused by Controller",FALSE,FALSE,FALSE,,,FALSE,"Dinesh Prasad (SSE/Sig/Vadodara Jn)","L. K. Das (SM/Vadodara Jn)",FALSE,FALSE,23.18,93.93
"BDMS-DISC-2026-00021","e-T351/VijayawadaJn/2026/0021","e-T351-REC/VijayawadaJn/2026/0021","2025-09-29","Vijayawada Jn","Lucknow","NER","North Eastern Railway","Vijayawada Jn DN Main Line (Track 3)","PWR","Power Supply Equipment","GR-30784","PWR-000517","Point Machine Obstruction & Friction Clutch Test (G&SR 3.51)","Traffic Block & Disconnection",TRUE,45,45,39,0,86.7,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Santosh Nair (SSE/Sig/Vijayawada Jn)","G. S. Reddy (SM/Vijayawada Jn)",TRUE,TRUE,17.98,82.83
"BDMS-DISC-2026-00022","e-T351/HubliJn/2026/0022",,"2025-09-25","Hubli Jn","Bhusaval","CR","Central Railway","Hubli Jn DN Goods Line (Track 1)","PNT","Points/Turnouts","GR-51957","PNT-000791","Color Light Signal Head Replacement & Aspect Checking","S&T Disconnection Notice",FALSE,90,0,0,0,0,"Refused by Controller",FALSE,FALSE,FALSE,,,FALSE,"Baldev Arora (SSE/Sig/Hubli Jn)","G. S. Reddy (SM/Hubli Jn)",FALSE,FALSE,20.97,81.53
"BDMS-DISC-2026-00023","e-T351/WadiJn/2026/0023","e-T351-REC/WadiJn/2026/0023","2026-01-17","Wadi Jn","Nagpur","SECR","South East Central Railway","Wadi Jn UP Loop Line (Track 4)","CBL","Signal Cables","GR-74261","CBL-001179","Electronic Interlocking (EI) Object Controller Card Hot-Swap & Test","Disconnection & Traffic Block",FALSE,60,60,51,0,85,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Anand Mehta (SSE/Sig/Wadi Jn)","D. N. Pandey (SM/Wadi Jn)",TRUE,TRUE,21.41,95.2
"BDMS-DISC-2026-00024","e-T351/BengaluruCity/2026/0024","e-T351-REC/BengaluruCity/2026/0024","2026-08-12","Bengaluru City","Guntakal","SCR","South Central Railway","Bengaluru City DN Goods Line (Track 2)","TC","Track Circuits","GR-20052","TC-000164","Electronic Interlocking (EI) Object Controller Card Hot-Swap & Test","Disconnection & Traffic Block",FALSE,90,90,76,0,84.4,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Girish Kale (SSE/Sig/Bengaluru City)","B. R. Verma (SM/Bengaluru City)",TRUE,TRUE,13.2,82.21
"BDMS-DISC-2026-00025","e-T351/MaldaTown/2026/0025",,"2026-03-05","Malda Town","Mughalsarai","ECR","East Central Railway","Malda Town UP Main Line (Track 2)","RLY","Relays","GR-93418","RLY-000281","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,120,120,108,0,90,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Kamlesh Joshi (SSE/Sig/Malda Town)","K. P. Saxena (SM/Malda Town)",TRUE,TRUE,16.57,71.41
"BDMS-DISC-2026-00026","e-T351/BalharshahJn/2026/0026",,"2026-09-01","Balharshah Jn","Ranchi","SER","South Eastern Railway","Balharshah Jn DN Loop Line (Track 2)","EI","Electronic Interlocking","GR-36007","EI-000706","Color Light Signal Head Replacement & Aspect Checking","S&T Disconnection Notice",FALSE,60,60,50,0,83.3,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Vikram Patel (SSE/Sig/Balharshah Jn)","G. S. Reddy (SM/Balharshah Jn)",TRUE,TRUE,32.15,68.88
"BDMS-DISC-2026-00027","e-T351/ManmadJn/2026/0027","e-T351-REC/ManmadJn/2026/0027","2025-09-30","Manmad Jn","Ajmer","NWR","North Western Railway","Manmad Jn UP Goods Line (Track 1)","RLY","Relays","GR-75905","RLY-000409","Track Circuit Bootleg & Bond Replacement","Traffic Block (Shadow)",TRUE,90,90,83,0,92.2,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Lalit Mohan (SSE/Sig/Manmad Jn)","K. P. Saxena (SM/Manmad Jn)",TRUE,FALSE,20.76,70.49
"BDMS-DISC-2026-00028","e-T351/GuntakalJn/2026/0028","e-T351-REC/GuntakalJn/2026/0028","2025-11-21","Guntakal Jn","Bengaluru","SWR","South Western Railway","Guntakal Jn DN Goods Line (Track 4)","EI","Electronic Interlocking","GR-63024","EI-001229","Insulated Rail Joint (IRJ) End Post Replacement at Point","Joint Traffic Block (S&T + P-Way)",TRUE,60,60,53,0,88.3,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Nitin Agarwal (SSE/Sig/Guntakal Jn)","L. K. Das (SM/Guntakal Jn)",TRUE,TRUE,25.9,88.96
"BDMS-DISC-2026-00029","e-T351/BilaspurJn/2026/0029","e-T351-REC/BilaspurJn/2026/0029","2026-07-14","Bilaspur Jn","Sonpur","ECR","East Central Railway","Bilaspur Jn UP Main Line (Track 3)","OFC","Optical Fibre Cable","GR-57445","OFC-001329","Power Supply IPS Module Replacement & Load Test","S&T Disconnection Notice",FALSE,45,45,36,0,80,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Deepak Chauhan (SSE/Sig/Bilaspur Jn)","H. S. Chauhan (SM/Bilaspur Jn)",TRUE,TRUE,15.49,74.94
"BDMS-DISC-2026-00030","e-T351/SalemJn/2026/0030",,"2026-02-02","Salem Jn","Prayagraj","NCR","North Central Railway","Salem Jn UP Goods Line (Track 3)","RLY","Relays","GR-71880","RLY-000060","Color Light Signal Head Replacement & Aspect Checking","S&T Disconnection Notice",FALSE,45,45,38,0,84.4,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Dinesh Prasad (SSE/Sig/Salem Jn)","S. K. Tiwari (SM/Salem Jn)",TRUE,TRUE,10.83,85.13
"BDMS-DISC-2026-00031","e-T351/MoradabadJn/2026/0031","e-T351-REC/MoradabadJn/2026/0031","2025-09-27","Moradabad Jn","Guntur","SCR","South Central Railway","Moradabad Jn DN Loop Line (Track 1)","TC","Track Circuits","GR-02505","TC-001173","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,120,120,108,0,90,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Kamlesh Joshi (SSE/Sig/Moradabad Jn)","A. K. Singh (SM/Moradabad Jn)",TRUE,TRUE,13.83,83.45
"BDMS-DISC-2026-00032","e-T351/CoimbatoreJn/2026/0032",,"2026-08-06","Coimbatore Jn","Lucknow","NER","North Eastern Railway","Coimbatore Jn DN Loop Line (Track 4)","LC","Level Crossing Gates","GR-08241","LC-001635","Color Light Signal Head Replacement & Aspect Checking","S&T Disconnection Notice",FALSE,90,90,81,0,90,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Sanjay Mishra (SSE/Sig/Coimbatore Jn)","V. K. Gupta (SM/Coimbatore Jn)",TRUE,TRUE,14.46,87.39
"BDMS-DISC-2026-00033","e-T351/HubliJn/2026/0033",,"2026-08-16","Hubli Jn","Jhansi","NCR","North Central Railway","Hubli Jn DN Goods Line (Track 1)","CLS","Color Light Signals","GR-03848","CLS-000848","Insulated Rail Joint (IRJ) End Post Replacement at Point","Joint Traffic Block (S&T + P-Way)",TRUE,60,60,52,0,86.7,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Sanjay Mishra (SSE/Sig/Hubli Jn)","H. S. Chauhan (SM/Hubli Jn)",TRUE,TRUE,29.37,96.15
"BDMS-DISC-2026-00034","e-T351/Visakhapatnam/2026/0034",,"2026-05-24","Visakhapatnam","Bikaner","NWR","North Western Railway","Visakhapatnam UP Loop Line (Track 1)","AXC","Axle Counters","GR-76961","AXC-000115","Power Supply IPS Module Replacement & Load Test","S&T Disconnection Notice",FALSE,45,45,72,27,160,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Vinod Reddy (SSE/Sig/Visakhapatnam)","M. L. Sharma (SM/Visakhapatnam)",TRUE,TRUE,12.28,70.29
"BDMS-DISC-2026-00035","e-T351/Nanded/2026/0035","e-T351-REC/Nanded/2026/0035","2026-04-14","Nanded","Nanded","SCR","South Central Railway","Nanded UP Main Line (Track 2)","CBL","Signal Cables","GR-67451","CBL-000825","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,45,45,34,0,75.6,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Brij Kishore (SSE/Sig/Nanded)","L. K. Das (SM/Nanded)",TRUE,TRUE,8.95,86.86
"BDMS-DISC-2026-00036","e-T351/JammuTawi/2026/0036","e-T351-REC/JammuTawi/2026/0036","2025-12-31","Jammu Tawi","Nagpur","SECR","South East Central Railway","Jammu Tawi UP Goods Line (Track 4)","TC","Track Circuits","GR-63645","TC-001509","Electronic Interlocking (EI) Object Controller Card Hot-Swap & Test","Disconnection & Traffic Block",FALSE,45,45,38,0,84.4,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Jagdish Lal (SSE/Sig/Jammu Tawi)","K. P. Saxena (SM/Jammu Tawi)",TRUE,TRUE,31.08,88.33
"BDMS-DISC-2026-00037","e-T351/Bhubaneswar/2026/0037","e-T351-REC/Bhubaneswar/2026/0037","2026-07-05","Bhubaneswar","Mumbai Central","WR","Western Railway","Bhubaneswar DN Goods Line (Track 4)","TC","Track Circuits","GR-06623","TC-001407","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,90,90,82,0,91.1,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Anand Mehta (SSE/Sig/Bhubaneswar)","S. K. Tiwari (SM/Bhubaneswar)",TRUE,TRUE,32.7,89.92
"BDMS-DISC-2026-00038","e-T351/FirozpurJn/2026/0038",,"2026-03-27","Firozpur Jn","Tiruchchirapalli","SR","Southern Railway","Firozpur Jn UP Goods Line (Track 3)","LC","Level Crossing Gates","GR-05188","LC-000360","Insulated Rail Joint (IRJ) End Post Replacement at Point","Joint Traffic Block (S&T + P-Way)",TRUE,60,60,74,14,123.3,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Manoj Verma (SSE/Sig/Firozpur Jn)","M. L. Sharma (SM/Firozpur Jn)",TRUE,TRUE,10.83,72.71
"BDMS-DISC-2026-00039","e-T351/VaranasiJn/2026/0039","e-T351-REC/VaranasiJn/2026/0039","2026-03-31","Varanasi Jn","Sambalpur","ECoR","East Coast Railway","Varanasi Jn UP Loop Line (Track 2)","LED","LED Signal Units","GR-95083","LED-001275","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,60,60,51,0,85,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Santosh Nair (SSE/Sig/Varanasi Jn)","T. R. Nair (SM/Varanasi Jn)",TRUE,TRUE,22.09,86.96
"BDMS-DISC-2026-00040","e-T351/SalemJn/2026/0040",,"2026-03-13","Salem Jn","Nagpur","SECR","South East Central Railway","Salem Jn UP Loop Line (Track 3)","TC","Track Circuits","GR-15463","TC-000557","Level Crossing Gate Interlocking Wiring Modification","Traffic Block & Disconnection",FALSE,120,120,130,10,108.3,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Dinesh Prasad (SSE/Sig/Salem Jn)","H. S. Chauhan (SM/Salem Jn)",TRUE,TRUE,21.58,94.95
"BDMS-DISC-2026-00041","e-T351/PuneJn/2026/0041","e-T351-REC/PuneJn/2026/0041","2026-07-16","Pune Jn","Ranchi","SER","South Eastern Railway","Pune Jn UP Goods Line (Track 1)","RLY","Relays","GR-46621","RLY-000091","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,90,90,82,0,91.1,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Harish Menon (SSE/Sig/Pune Jn)","R. N. Srivastava (SM/Pune Jn)",TRUE,TRUE,9.98,74.11
"BDMS-DISC-2026-00042","e-T351/ChennaiCentral/2026/0042","e-T351-REC/ChennaiCentral/2026/0042","2026-04-09","Chennai Central","Hubballi","SWR","South Western Railway","Chennai Central UP Goods Line (Track 2)","CLS","Color Light Signals","GR-51029","CLS-001465","Signal Cable Re-termination at Location Box","S&T Disconnection Notice",FALSE,120,120,111,0,92.5,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Pravin Patil (SSE/Sig/Chennai Central)","R. N. Srivastava (SM/Chennai Central)",TRUE,TRUE,24.51,75.35
"BDMS-DISC-2026-00043","e-T351/GorakhpurJn/2026/0043",,"2026-05-10","Gorakhpur Jn","Malda","ER","Eastern Railway","Gorakhpur Jn DN Loop Line (Track 2)","PNT","Points/Turnouts","GR-93639","PNT-000541","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,45,45,35,0,77.8,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Vikas Rawat (SSE/Sig/Gorakhpur Jn)","L. K. Das (SM/Gorakhpur Jn)",TRUE,TRUE,18.9,78.94
"BDMS-DISC-2026-00044","e-T351/MaldaTown/2026/0044","e-T351-REC/MaldaTown/2026/0044","2026-03-28","Malda Town","Delhi","NR","Northern Railway","Malda Town UP Goods Line (Track 4)","CLS","Color Light Signals","GR-33178","CLS-001126","Level Crossing Gate Interlocking Wiring Modification","Traffic Block & Disconnection",FALSE,60,60,49,0,81.7,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Vinod Reddy (SSE/Sig/Malda Town)","R. N. Srivastava (SM/Malda Town)",TRUE,TRUE,23.24,95.71
"BDMS-DISC-2026-00045","e-T351/LucknowNR/2026/0045",,"2025-09-14","Lucknow NR","Danapur","ECR","East Central Railway","Lucknow NR UP Loop Line (Track 1)","CLS","Color Light Signals","GR-33232","CLS-000787","Signal Cable Re-termination at Location Box","S&T Disconnection Notice",FALSE,90,90,81,0,90,"Active Disconnection (SM Panel Locked)",TRUE,TRUE,FALSE,,,FALSE,"Jagdish Lal (SSE/Sig/Lucknow NR)","T. R. Nair (SM/Lucknow NR)",TRUE,TRUE,24.12,95.16
"BDMS-DISC-2026-00046","e-T351/VaranasiJn/2026/0046","e-T351-REC/VaranasiJn/2026/0046","2026-07-26","Varanasi Jn","Moradabad","NR","Northern Railway","Varanasi Jn UP Main Line (Track 4)","CBL","Signal Cables","GR-93615","CBL-000549","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,45,45,39,0,86.7,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Manoj Verma (SSE/Sig/Varanasi Jn)","T. R. Nair (SM/Varanasi Jn)",TRUE,TRUE,21.93,72.09
"BDMS-DISC-2026-00047","e-T351/RanchiJn/2026/0047","e-T351-REC/RanchiJn/2026/0047","2025-12-04","Ranchi Jn","Nagpur","SECR","South East Central Railway","Ranchi Jn DN Main Line (Track 1)","TC","Track Circuits","GR-02021","TC-001359","Power Supply IPS Module Replacement & Load Test","S&T Disconnection Notice",FALSE,45,45,32,0,71.1,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Pankaj Dubey (SSE/Sig/Ranchi Jn)","D. N. Pandey (SM/Ranchi Jn)",TRUE,TRUE,13.56,94.01
