"failure_id","failure_timestamp","failure_date","failure_hour","failure_month","station_code","division","zone_code","zone_name","failed_gear_type","failed_gear_type_name","gear_number","asset_id","severity","nature_of_fault","root_cause_category","environmental_factor","detection_method","detection_delay_minutes","detention_minutes","trains_affected","restoration_timestamp","restoration_duration_minutes","restoration_duration_formatted","restoration_action","attending_supervisor","reported_by","status","bdms_emergency_token","transfer_status","requested_block_minutes","traffic_impact","asset_age_years","asset_codal_expired","asset_make","is_monsoon_related","latitude","longitude","sensor_voltage_V","sensor_current_A","sensor_vibration_mm_s","sensor_temperature_C","sensor_humidity_pct","sensor_insulation_resistance_MOhm"
"SFR-000011","2026-06-04 08:18:00","2026-06-04",13,"Jun","Guntakal Jn","Lumding","NFR","Northeast Frontier Railway","ACF","Axle Counter Failure","GR-77575","AXC-001071","Medium","Power supply glitch causing spurious count increment","Other","Normal","SSE/JE Patrol",25,8,5,,,"Ongoing",,"Vinod Reddy (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-NFR-00011","Emergency Block Granted in BDMS",90,"8m detention · 1 trains affected",12,FALSE,"Hitachi",TRUE,30.73,81.67,21.4,1.73,5.07,46.2,73.29,37.66
"SFR-000012","2026-02-09 01:35:00","2026-02-09",7,"Feb","Madurai Jn","Mysuru","SWR","South Western Railway","TCF","Track Circuit Failure","GR-19884","TC-000600","Medium","Tuning unit capacitor failure changing resonant frequency","Other","Dust Storm","CMS Auto Alert",21,10,5,,,"Ongoing",,"Umesh Tripathi (SSE/Sig)","SM/Station Master","Active","BDMS-EMG-2026-SWR-00012","Emergency Block Granted in BDMS",30,"10m detention · 1 trains affected",21,TRUE,"Thales",FALSE,21.17,95.05,13.09,0.15,4.35,31.78,54.36,27.06
"SFR-000013","2026-09-01 17:07:00","2026-09-01",22,"Sept","Guntakal Jn","Khurda Road","ECoR","East Coast Railway","PF","Point Failure","GR-70286","PNT-001195","Low","Lock stretcher bar insulation degraded below 50 Ohms","Aging/Degradation","Storm/Lightning","SSE/JE Patrol",22,10,5,,,"Ongoing",,"Manoj Verma (JE/Sig)","JE/Sig","Active","BDMS-EMG-2026-ECoR-00013","Emergency Block Granted in BDMS",60,"10m detention · 1 trains affected",28,TRUE,"Siemens",TRUE,10.04,79.36,83.6,3.97,12.75,42.57,77.04,109.59
"SFR-000014","2026-02-24 23:56:00","2026-02-24",5,"Feb","Raipur Jn","Mumbai","CR","Central Railway","PSF","Power Supply Failure","GR-81731","PWR-001779","Low","Cable route damaged by weather causing cascading shutdown","External/Vandalism","Normal","IoT Sensor Alert",8,11,3,,,"Ongoing",,"Pradeep Singh (SSE/Sig)","CMS Alert","Active",,"Pending Emergency Dispatch",45,"11m detention · 1 trains affected",16,TRUE,"Bombardier",FALSE,18.6,95.81,223.5,26.86,4.26,46.8,40.57,35.21
"SFR-000015","2026-07-02 13:47:00","2026-07-02",19,"Jul","Vadodara Jn","Khurda Road","ECoR","East Coast Railway","EIF","Electronic Interlocking Failure","GR-47508","EI-000594","Low","Memory overflow in signalling data logger","Other","Normal","Station Master Report",24,11,2,,,"Ongoing",,"Naveen Kulkarni (SSE/Sig)","SM/Station Master","Active",,"Pending Emergency Dispatch",60,"11m detention · 1 trains affected",13,FALSE,"Thales",TRUE,12.17,74.94,25.07,8.93,1.75,38.81,62.75,391.2
"SFR-000016","2025-11-15 22:24:00","2025-11-15",3,"Nov","Bhusaval Jn","Izzatnagar","NER","North Eastern Railway","SF","Signal Failure","GR-42365","CLS-000863","High","Back-light check relay malfunction","Other","Normal","CMS Auto Alert",12,12,4,,,"Ongoing",,"Rakesh Jha (JE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-NER-00016","Emergency Block Granted in BDMS",90,"12m detention · 1 trains affected",19,FALSE,"Medha",FALSE,18.35,85.87,17.08,0.95,0.75,31.88,45.04,80.76
"SFR-000017","2026-01-19 23:07:00","2026-01-19",4,"Jan","Bhusaval Jn","Sealdah","ER","Eastern Railway","TCF","Track Circuit Failure","GR-48968","TC-000059","Medium","Track circuit feed-end transformer winding open","Electrical","Fog","CMS Auto Alert",65,43,5,,,"Ongoing",,"Rajesh Kumar (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-ER-00017","Emergency Block Granted in BDMS",45,"43m detention · 4 trains affected",6,FALSE,"Thales",FALSE,11.34,80.17,11.18,0.09,1.21,35.22,52.26,40.16
"SFR-000018","2025-09-05 22:32:00","2025-09-05",4,"Sept","Lucknow NR","Mumbai","CR","Central Railway","SF","Signal Failure","GR-65711","CLS-000458","Low","LED unit failure causing blank signal aspect","Other","Heavy Rain","CMS Auto Alert",41,85,12,,,"Ongoing",,"Rakesh Jha (JE/Sig)","JE/Sig","Active","BDMS-EMG-2026-CR-00018","Emergency Block Granted in BDMS",45,"85m detention · 8 trains affected",28,TRUE,"Bombardier",TRUE,22.62,74.29,21.43,1.3,0.57,32.09,70.68,66.95
"SFR-000019","2026-08-07 01:30:00","2026-08-07",7,"Aug","Thiruvananthapuram","Chennai","SR","Southern Railway","TCF","Track Circuit Failure","GR-57084","TC-001388","High","Bond wire high resistance due to corroded weld","Other","Normal","IoT Sensor Alert",6,13,3,,,"Ongoing",,"Kishore Nath (SSE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-SR-00019","Emergency Block Granted in BDMS",90,"13m detention · 1 trains affected",6,FALSE,"Kyosan",TRUE,28.38,73.31,12.37,0.24,1.96,36.06,86.49,21.67
"SFR-000020","2026-08-13 14:14:00","2026-08-13",19,"Aug","Vadodara Jn","Bhopal","WCR","West Central Railway","TCF","Track Circuit Failure","GR-94225","TC-000062","Medium","Relay contact oxidation causing intermittent drop","Other","Cyclone","SSE/JE Patrol",51,11,1,,,"Ongoing",,"Kamlesh Joshi (JE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-WCR-00020","Emergency Block Granted in BDMS",60,"11m detention · 1 trains affected",15,FALSE,"Hitachi",TRUE,10.38,84.07,11.1,0.07,3.26,35.8,85.73,37.79
"SFR-000021","2026-01-02 09:09:00","2026-01-02",14,"Jan","Coimbatore Jn","Rajkot","WR","Western Railway","EIF","Electronic Interlocking Failure","GR-90137","EI-000599","Medium","Memory overflow in signalling data logger","Other","Extreme Heat","CMS Auto Alert",10,19,4,,,"Ongoing",,"Brij Kishore (JE/Sig)","JE/Sig","Active",,"Pending Emergency Dispatch",30,"19m detention · 1 trains affected",16,FALSE,"HBL",FALSE,9.96,86.93,24.37,6.97,0.46,30.27,34.09,310.14
"SFR-000022","2026-09-12 16:20:00","2026-09-12",21,"Sept","Ambala Cantt","Vadodara","WR","Western Railway","TCF","Track Circuit Failure","GR-87499","TC-001689","Medium","Leaf fall contamination blocking electrical contact","Electrical","Heavy Rain","CMS Auto Alert",11,123,19,,,"Ongoing",,"Vikram Patel (SSE/Sig)","Tech/Sig","Active","BDMS-EMG-2026-WR-00022","Emergency Block Granted in BDMS",45,"123m detention · 12 trains affected",23,TRUE,"Thales",TRUE,28.65,89.48,10.56,0.13,0.36,37,78.38,29.94
"SFR-000023","2025-09-23 06:29:00","2025-09-23",11,"Sept","Madurai Jn","Bhusaval","CR","Central Railway","PF","Point Failure","GR-30425","PNT-001156","High","Ballast accumulation preventing full stroke movement","Contamination","Heavy Rain","Driver Report",14,58,9,,,"Ongoing",,"Pravin Patil (JE/Sig)","SM/Station Master","Active",,"Pending Emergency Dispatch",90,"58m detention · 5 trains affected",27,TRUE,"Bombardier",TRUE,24.67,68.61,124.54,3.41,10.95,40.07,74.46,113.15
"SFR-000024","2026-06-06 21:50:00","2026-06-06",3,"Jun","Wadi Jn","Rangiya","NFR","Northeast Frontier Railway","PF","Point Failure","GR-01762","PNT-001571","Medium","Debris obstruction between switch rail and stock rail","Contamination","Storm/Lightning","Station Master Report",1,53,9,,,"Ongoing",,"Govind Ram (SSE/Sig)","Tech/Sig","Active","BDMS-EMG-2026-NFR-00024","Emergency Block Granted in BDMS",45,"53m detention · 5 trains affected",25,TRUE,"Kyosan",TRUE,8.85,73.29,129.81,3.04,14.53,48.37,70.41,73.9
"SFR-000025","2026-05-25 19:29:00","2026-05-25",0,"May","Balharshah Jn","Mysuru","SWR","South Western Railway","LF","LED Failure","GR-16642","LED-000579","Medium","LED cluster partial failure reducing luminous intensity","Other","Normal","CMS Auto Alert",1,18,3,,,"Ongoing",,"Satish Chandra (JE/Sig)","Tech/Sig","Active","BDMS-EMG-2026-SWR-00025","Emergency Block Granted in BDMS",30,"18m detention · 1 trains affected",7,FALSE,"Kyosan",FALSE,32.86,77.86,18.26,0.65,1.22,47.63,53.17,171.3
"SFR-000026","2025-10-11 12:56:00","2025-10-11",18,"Oct","Dhanbad Jn","Mysuru","SWR","South Western Railway","PSF","Power Supply Failure","GR-67950","PWR-001302","High","Voltage regulator malfunction causing over-voltage condition","Electrical","Cyclone","Station Master Report",112,18,5,,,"Ongoing",,"Krishna Murthy (JE/Sig)","Control Room","Active",,"Pending Emergency Dispatch",45,"18m detention · 1 trains affected",4,FALSE,"Kyosan",FALSE,26.16,85.24,221.28,22.4,1.59,41.2,52.22,23
"SFR-000027","2026-09-13 10:38:00","2026-09-13",16,"Sept","Madurai Jn","Varanasi","NER","North Eastern Railway","LCF","Level Crossing Failure","GR-53548","LC-000345","High","Approach track circuit failure delaying gate warning","Electrical","Normal","Station Master Report",168,7,5,,,"Ongoing",,"Bharat Bhushan (JE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-NER-00027","Emergency Block Granted in BDMS",90,"7m detention · 1 trains affected",27,TRUE,"Hitachi",TRUE,8.62,70.53,127.43,4.59,13.91,39.94,74.11,37.11
"SFR-000028","2026-08-17 10:18:00","2026-08-17",15,"Aug","Warangal","Madgaon","KRCL","Konkan Railway","PF","Point Failure","GR-68672","PNT-000119","Critical","Thermal expansion causing rail creep and point misalignment","Thermal","Dust Storm","Station Master Report",30,103,13,,,"Ongoing",,"Hemant Bansal (JE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-KRCL-00028","Emergency Block Granted in BDMS",90,"103m detention · 10 trains affected",31,TRUE,"Siemens",TRUE,17.5,92.17,103.67,3.63,12.61,40.32,78.89,71.88
"SFR-000029","2026-09-25 12:13:00","2026-09-25",17,"Sept","Wadi Jn","Bilaspur","SECR","South East Central Railway","PSF","Power Supply Failure","GR-09104","PWR-000551","Medium","Cable route damaged by weather causing cascading shutdown","External/Vandalism","Flooding","Driver Report",7,51,10,,,"Ongoing",,"Raghav Pandey (SSE/Sig)","Tech/Sig","Active","BDMS-EMG-2026-SECR-00029","Emergency Block Granted in BDMS",60,"51m detention · 5 trains affected",22,TRUE,"Bombardier",TRUE,18.36,81.43,159.54,23.58,2.62,47.35,67.34,29.14
"SFR-000030","2025-12-21 10:03:00","2025-12-21",15,"Dec","Manmad Jn","Trivandrum","SR","Southern Railway","LCF","Level Crossing Failure","GR-69793","LC-000959","Medium","Gate lamp failure reducing visibility at night","Other","Normal","CMS Auto Alert",18,7,4,,,"Ongoing",,"Naveen Kulkarni (JE/Sig)","CMS Alert","Active","BDMS-EMG-2026-SR-00030","Emergency Block Granted in BDMS",90,"7m detention · 1 trains affected",25,TRUE,"BHEL",FALSE,12.66,72.31,122.53,5.29,9.97,32.42,47.34,45.59
"SFR-000031","2026-08-18 20:56:00","2026-08-18",2,"Aug","Agra Cantt","Danapur","ECR","East Central Railway","TCF","Track Circuit Failure","GR-45850","TC-000904","Medium","Leaf fall contamination blocking electrical contact","Electrical","Flooding","IoT Sensor Alert",22,15,4,,,"Ongoing",,"Vikram Patel (SSE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-ECR-00031","Emergency Block Granted in BDMS",90,"15m detention · 1 trains affected",8,FALSE,"Hitachi",TRUE,11.9,92.61,11.53,0.33,1.87,34.72,80.67,25.72
"SFR-000032","2026-05-08 10:53:00","2026-05-08",16,"May","Vadodara Jn","Mumbai","CR","Central Railway","PF","Point Failure","GR-36853","PNT-001554","High","Lock stretcher bar insulation degraded below 50 Ohms","Aging/Degradation","Normal","IoT Sensor Alert",37,86,15,,,"Ongoing",,"Girish Kale (JE/Sig)","SM/Station Master","Active","BDMS-EMG-2026-CR-00032","Emergency Block Granted in BDMS",90,"86m detention · 8 trains affected",26,TRUE,"HBL",FALSE,11.98,77.38,111.52,3.6,9.11,53.46,54.93,91.25
"SFR-000033","2025-09-21 08:52:00","2025-09-21",14,"Sept","Asansol Jn","Danapur","ECR","East Central Railway","CF","Cable Fault","GR-97823","CBL-000413","High","Optical fibre micro-bend loss exceeding 3 dB threshold","Other","Heavy Rain","SSE/JE Patrol",112,161,20,,,"Ongoing",,"Pankaj Dubey (JE/Sig)","CMS Alert","Active","BDMS-EMG-2026-ECR-00033","Emergency Block Granted in BDMS",45,"161m detention · 16 trains affected",3,FALSE,"BHEL",TRUE,9.35,87.79,,,,27.65,86.97,66.09
"SFR-000034","2026-07-29 15:58:00","2026-07-29",21,"Jul","Dhanbad Jn","Bhusaval","CR","Central Railway","SF","Signal Failure","GR-35972","CLS-001448","High","Internal wiring fault in multi-aspect signal head","Other","Cyclone","CMS Auto Alert",6,197,27,,,"Ongoing",,"Bharat Bhushan (SSE/Sig)","Control Room","Active",,"Pending Emergency Dispatch",45,"197m detention · 19 trains affected",19,FALSE,"BHEL",TRUE,14.18,91.89,32.28,1.19,1.1,36.71,72.71,82.44
"SFR-000035","2025-11-12 01:41:00","2025-11-12",7,"Nov","Raipur Jn","Raipur","SECR","South East Central Railway","TCF","Track Circuit Failure","GR-18731","TC-001907","Low","Bond wire high resistance due to corroded weld","Other","Normal","Driver Report",72,26,3,,,"Ongoing",,"Yogesh Soni (SSE/Sig)","SM/Station Master","Active","BDMS-EMG-2026-SECR-00035","Emergency Block Granted in BDMS",30,"26m detention · 2 trains affected",27,TRUE,"Thales",FALSE,28.17,83.96,8.96,0.14,0.19,28.96,56.96,27.69
"SFR-000036","2026-03-10 22:32:00","2026-03-10",4,"Mar","Nagpur Jn","Khurda Road","ECoR","East Coast Railway","PSF","Power Supply Failure","GR-71778","PWR-001933","Medium","Battery bank cell failure reducing backup capacity","Other","Normal","Station Master Report",7,100,14,,,"Ongoing",,"Pankaj Dubey (SSE/Sig)","CMS Alert","Active",,"Pending Emergency Dispatch",30,"100m detention · 10 trains affected",12,FALSE,"Bombardier",FALSE,9.26,71.13,226.47,22.56,1.02,48.84,44.91,30.23
"SFR-000037","2026-06-20 00:02:00","2026-06-20",5,"Jun","Katni Jn","Hubballi","SWR","South Western Railway","PF","Point Failure","GR-43409","PNT-001640","Critical","Debris obstruction between switch rail and stock rail","Contamination","Heavy Rain","Control Room Observation",39,11,2,,,"Ongoing",,"Mohit Pandey (SSE/Sig)","CMS Alert","Active",,"Pending Emergency Dispatch",60,"11m detention · 1 trains affected",5,FALSE,"Hitachi",TRUE,22.46,77.41,130.53,3.39,10.57,51.25,66.29,84.78
"SFR-000038","2025-09-19 05:01:00","2025-09-19",10,"Sept","Manmad Jn","Adra","SER","South Eastern Railway","TCF","Track Circuit Failure","GR-79916","TC-001310","High","Tuning unit capacitor failure changing resonant frequency","Other","Storm/Lightning","Station Master Report",15,32,8,,,"Ongoing",,"Anand Mehta (SSE/Sig)","JE/Sig","Active","BDMS-EMG-2026-SER-00038","Emergency Block Granted in BDMS",60,"32m detention · 3 trains affected",11,FALSE,"Kyosan",TRUE,32.92,84.95,10.81,0.22,3.5,37.42,78.52,27.56
"SFR-000039","2026-06-28 07:58:00","2026-06-28",13,"Jun","Surat","Ahmedabad","WR","Western Railway","PF","Point Failure","GR-09556","PNT-000316","Medium","Thermal expansion causing rail creep and point misalignment","Thermal","Heavy Rain","SSE/JE Patrol",67,42,6,,,"Ongoing",,"Brij Kishore (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-WR-00039","Emergency Block Granted in BDMS",90,"42m detention · 4 trains affected",11,FALSE,"Medha",TRUE,12.03,92.53,123.58,4.4,11.89,51.66,65.57,112.48
"SFR-000040","2026-03-26 17:26:00","2026-03-26",22,"Mar","Dhanbad Jn","Rangiya","NFR","Northeast Frontier Railway","PF","Point Failure","GR-64848","PNT-001395","High","Ballast accumulation preventing full stroke movement","Contamination","Normal","Station Master Report",10,110,16,,,"Ongoing",,"Mohit Pandey (JE/Sig)","Tech/Sig","Active",,"Pending Emergency Dispatch",30,"110m detention · 11 trains affected",27,TRUE,"BHEL",FALSE,25.04,81.52,137.91,3.4,14.88,41.31,54.49,84.05
"SFR-000041","2026-06-17 11:14:00","2026-06-17",16,"Jun","New Delhi","Jabalpur","WCR","West Central Railway","SF","Signal Failure","GR-11949","CLS-001994","High","Optical alignment lost after heavy wind/storm","Other","Extreme Heat","SSE/JE Patrol",56,16,2,,,"Ongoing",,"Girish Kale (SSE/Sig)","JE/Sig","Active","BDMS-EMG-2026-WCR-00041","Emergency Block Granted in BDMS",60,"16m detention · 1 trains affected",28,TRUE,"Siemens",TRUE,20.82,85.39,32.62,1.11,2.11,46.89,63.57,115.1
"SFR-000042","2025-11-27 17:51:00","2025-11-27",23,"Nov","Vadodara Jn","Karwar","KRCL","Konkan Railway","RF","Relay Failure","GR-81743","RLY-001782","High","Wrong relay type installed during maintenance","Other","Normal","CMS Auto Alert",15,81,13,,,"Ongoing",,"Yogesh Soni (JE/Sig)","Control Room","Active","BDMS-EMG-2026-KRCL-00042","Emergency Block Granted in BDMS",60,"81m detention · 8 trains affected",10,FALSE,"Hitachi",FALSE,9.1,71.88,20.35,0.49,3.27,31.24,42.13,327.93
"SFR-000043","2026-08-11 14:56:00","2026-08-11",20,"Aug","Pune Jn","Vadodara","WR","Western Railway","TCF","Track Circuit Failure","GR-20709","TC-001964","Low","Ballast resistance drop below 2 ohm-km threshold","Contamination","Heavy Rain","Station Master Report",29,10,2,,,"Ongoing",,"Girish Kale (JE/Sig)","Control Room","Active",,"Pending Emergency Dispatch",45,"10m detention · 1 trains affected",11,FALSE,"Medha",TRUE,33.18,84.35,13.19,0.15,3.14,32.42,82.53,22.24
"SFR-000044","2026-05-30 00:07:00","2026-05-30",5,"May","Madurai Jn","Nanded","SCR","South Central Railway","PF","Point Failure","GR-46877","PNT-001762","Medium","Mechanical wear on detection notches causing misalignment","Mechanical","Extreme Heat","IoT Sensor Alert",35,40,8,,,"Ongoing",,"Umesh Tripathi (SSE/Sig)","JE/Sig","Active",,"Pending Emergency Dispatch",90,"40m detention · 4 trains affected",22,TRUE,"Thales",FALSE,13.6,94.09,104.48,3.67,9,53.61,61.58,104.59
"SFR-000045","2026-06-26 02:04:00","2026-06-26",7,"Jun","Ambala Cantt","Madgaon","KRCL","Konkan Railway","TCF","Track Circuit Failure","GR-09169","TC-000711","Medium","Wet ballast causing short circuit and false occupancy","Environmental","Heavy Rain","CMS Auto Alert",152,34,4,,,"Ongoing",,"Ajay Thakur (SSE/Sig)","SM/Station Master","Active","BDMS-EMG-2026-KRCL-00045","Emergency Block Granted in BDMS",90,"34m detention · 3 trains affected",22,TRUE,"Siemens",TRUE,9.82,81.31,10.73,0.33,0.33,41.97,74.52,6.36
"SFR-000046","2026-07-09 21:26:00","2026-07-09",2,"Jul","Kharagpur Jn","Lucknow","NER","North Eastern Railway","TCF","Track Circuit Failure","GR-45270","TC-000011","Medium","Insulated rail joint (IRJ) failure bridging track sections","Other","Heavy Rain","IoT Sensor Alert",1,12,4,,,"Ongoing",,"Ramesh Tiwari (SSE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-NER-00046","Emergency Block Granted in BDMS",60,"12m detention · 1 trains affected",28,TRUE,"HBL",TRUE,31.32,72.89,14.21,0.28,2.53,38.59,86.57,4.9
"SFR-000047","2026-06-14 22:04:00","2026-06-14",3,"Jun","Katni Jn","Nagpur","SECR","South East Central Railway","PF","Point Failure","GR-99536","PNT-000934","Critical","Mechanical wear on detection notches causing misalignment","Mechanical","Normal","Station Master Report",5,31,4,,,"Ongoing",,"Nitin Agarwal (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-SECR-00047","Emergency Block Granted in BDMS",45,"31m detention · 3 trains affected",12,FALSE,"Bombardier",TRUE,12.51,82.77,107.24,3.59,12.57,50.84,74.12,106.59
"SFR-000048","2026-08-05 18:40:00","2026-08-05",0,"Aug","Bhusaval Jn","Bilaspur","SECR","South East Central Railway","TCF","Track Circuit Failure","GR-58830","TC-001383","Medium","Leaf fall contamination blocking electrical contact","Electrical","Storm/Lightning","Control Room Observation",2,21,4,,,"Ongoing",,"Krishna Murthy (JE/Sig)","JE/Sig","Active","BDMS-EMG-2026-SECR-00048","Emergency Block Granted in BDMS",90,"21m detention · 2 trains affected",18,FALSE,"GE Transportation",TRUE,32.93,76.33,13.02,0.11,2.11,37.51,85.17,18.02
"SFR-000049","2025-09-05 10:13:00","2025-09-05",15,"Sept","Indore Jn","Ratlam","WR","Western Railway","TCF","Track Circuit Failure","GR-02526","TC-001890","Critical","Bond wire high resistance due to corroded weld","Other","Heavy Rain","SSE/JE Patrol",38,5,1,,,"Ongoing",,"Ajay Thakur (JE/Sig)","JE/Sig","Active",,"Pending Emergency Dispatch",45,"5m detention · 1 trains affected",16,FALSE,"Kyosan",TRUE,12.81,90.23,14.6,0.39,2.5,36.04,79.76,9.52
"SFR-000050","2026-07-15 17:42:00","2026-07-15",23,"Jul","Howrah Jn","Asansol","ER","Eastern Railway","TCF","Track Circuit Failure","GR-35179","TC-000750","High","Cable insulation breakdown due to moisture ingress","Environmental","Heavy Rain","SSE/JE Patrol",25,14,6,,,"Ongoing",,"Lalit Mohan (SSE/Sig)","JE/Sig","Active","BDMS-EMG-2026-ER-00050","Emergency Block Granted in BDMS",30,"14m detention · 1 trains affected",5,FALSE,"Siemens",TRUE,28.24,95.45,8.82,0.21,1.83,37.2,84.8,29.73
